,text,predicted_posize,value_posize,predicted_podisease,value_podisease,predicted_poage,value_poage,predicted_poss,value_poss,predicted_prdisease,value_prdisease,predicted_pogender,value_pogender,predicted_poprocedure,value_poprocedure,predicted_prss,value_prss,predicted_potreatment,value_potreatment,predicted_pophyconditon,value_pophyconditon,predicted_prbehavior,value_prbehavior,predicted_pomedhistory,value_pomedhistory,predicted_poclinical,value_poclinical,predicted_iprocedure,value_iprocedure,predicted_idiagnostic,value_idiagnostic,predicted_idisease,value_idisease,predicted_idiagnostictest,value_idiagnostictest,predicted_iss,value_iss,predicted_otreatment,value_otreatment,predicted_opatient,value_opatient
10,electronic fetal heart rate monitoring,0.085789703,0,0.121283233,0,0.059638612,0,0.073740557,0,0.066789418,0,0.053396679,0,0.046512581,0,0.043708846,0,0.041879673,0,0.066072755,0,0.033731159,0,0.036977936,0,0.041969448,0,0.240681201,0,0.080219761,1,0.040395595,0,0.051300261,0,0.057271652,0,0.125788584,0,0.077439629,0
11,receive 50 mg of misoprostol orally or vaginally every 6 h,0.10549777,0,0.107537039,0,0.071864419,0,0.067823254,0,0.088669255,0,0.061661385,0,0.049244147,0,0.050430052,0,0.049826391,0,0.062487815,0,0.038862981,0,0.051566981,0,0.060069621,0,0.585624754,1,0.108359642,0,0.054045334,0,0.068168893,0,0.077979304,0,0.128597096,0,0.086390987,0
12,a 5 h difference in induction to delivery time,0.060881298,0,0.096088305,0,0.053272497,0,0.080265321,0,0.094691768,0,0.057596471,0,0.071235262,0,0.058104403,0,0.042402532,0,0.082627706,0,0.037000176,0,0.039019406,0,0.04213934,0,0.151322424,0,0.096920833,0,0.05923786,0,0.056786031,1,0.073855035,0,0.325158149,0,0.11474131,0
13,women randomised to vaginal misoprostol had the tablet placed by the resident or attending physician in the vaginal vault,0.095241338,0,0.109395012,0,0.069510579,0,0.068092585,0,0.077736862,0,0.057113543,0,0.045874707,0,0.046657763,0,0.045805212,0,0.06102236,0,0.035721231,0,0.047874399,0,0.054928631,0,0.522308886,1,0.099478908,0,0.047163516,0,0.063719019,0,0.071678951,0,0.118414618,0,0.081638731,0
14,significantly shorter,0.065505117,0,0.104416132,0,0.056821771,0,0.084538683,0,0.091389544,0,0.06487079,0,0.074651241,0,0.058055278,0,0.042938896,0,0.086856142,0,0.038982626,0,0.040311307,0,0.042616684,0,0.139741734,0,0.09340056,0,0.058692899,0,0.055952277,0,0.073115133,0,0.295830816,1,0.119075865,0
15,a shorter induction to delivery time with fewer doses required per patient,0.064381793,0,0.10908851,0,0.050785597,0,0.079692073,0,0.085662864,0,0.053565182,0,0.064216994,0,0.054616109,0,0.041775677,0,0.079671457,0,0.035778128,0,0.036184054,0,0.042866308,0,0.146082684,0,0.091408931,0,0.054274481,0,0.052551199,0,0.07041657,0,0.283087879,1,0.107405975,0
16,higher rates of caesarean section,0.065185986,0,0.10600578,0,0.053095352,0,0.079701535,0,0.085917979,0,0.056152459,0,0.065019876,0,0.054997683,0,0.041657556,0,0.080032267,0,0.036183015,0,0.037376747,0,0.042020399,0,0.141929582,0,0.090422556,0,0.055162918,0,0.052537099,0,0.069299817,0,0.280241132,1,0.107950091,0
17,no statistically significant difference,0.063800924,0,0.107482001,0,0.055160861,0,0.0846783,0,0.090697452,0,0.060340092,0,0.072470725,0,0.057376828,0,0.043729089,0,0.08612325,0,0.038003203,0,0.040603273,0,0.043240402,0,0.135973662,0,0.093267575,0,0.058293492,0,0.054334525,0,0.072913103,0,0.292481244,1,0.120311297,0
18,103 patients,0.322687954,1,0.171211183,0,0.116377339,0,0.091737233,0,0.085194096,0,0.083397247,0,0.050857112,0,0.062924527,0,0.066838063,0,0.072595984,0,0.046146858,0,0.061808951,0,0.06185133,0,0.193529949,0,0.091452956,0,0.060303211,0,0.074208468,0,0.078296363,0,0.136768013,0,0.107393615,0
19,the efficacy of oral misoprostol as an oxytocic agent in women with prom and to monitor the incidence of adverse maternal and fetal effects in the treatment arm of the study,0.066267945,0,0.096004583,0,0.056078941,0,0.075122118,0,0.102076076,1,0.053854357,0,0.06503465,0,0.062990256,0,0.044765111,0,0.073692739,0,0.038071834,0,0.040990591,0,0.045841575,0,0.154621184,0,0.100003131,0,0.063588813,0,0.056830235,0,0.078144468,0,0.335829437,0,0.109196,0
20,the women,0.117702551,0,0.114628285,0,0.068590514,0,0.085321911,0,0.069485277,0,0.080976129,1,0.057571761,0,0.047708526,0,0.041438814,0,0.078342125,0,0.039726172,0,0.04233516,0,0.042934373,0,0.177886352,0,0.073389478,0,0.044534311,0,0.060313534,0,0.061299685,0,0.161430895,0,0.096152402,0
21,the women received one of the tablets and both groups received again the same drug as before misoprostol,0.097176999,0,0.107228391,0,0.067968309,0,0.064984038,0,0.079736441,0,0.057250105,0,0.044448826,0,0.045065701,0,0.043792281,0,0.058999754,0,0.034861349,0,0.048536237,0,0.054752674,0,0.524319708,1,0.095805302,0,0.047053263,0,0.063112453,0,0.072786532,0,0.130013555,0,0.082946762,0
22,an initial continuous ctg for 1 h was recorded followed by intermittent ctg or continuous ctg once in active labor,0.091097377,0,0.107356384,0,0.06516394,0,0.066295311,0,0.080743209,0,0.056771703,0,0.04776654,0,0.045913834,0,0.044888988,0,0.062523335,0,0.035623815,0,0.046477661,0,0.053002734,0,0.521009088,1,0.099160805,0,0.047774393,0,0.063729405,0,0.071013957,0,0.126834139,0,0.083158799,0
23,the vitamin c tablet was nearly identical in appearance with the misoprostol table,0.061433416,0,0.091308668,0,0.04915297,0,0.069989562,0,0.091596328,0,0.054085191,0,0.062298406,0,0.051978171,0,0.040300075,0,0.069882743,0,0.03498194,0,0.037609775,0,0.041546781,0,0.20168069,1,0.096653655,0,0.0558469,0,0.054572724,0,0.069966398,0,0.290528446,0,0.103512578,0
24,an effective oxytocic,0.063603126,0,0.091460153,0,0.054844547,0,0.078364179,0,0.097581126,0,0.058899313,0,0.068311997,0,0.059250902,0,0.042686526,0,0.077747859,0,0.038456954,0,0.040885694,0,0.042832967,0,0.164660662,0,0.097851783,0,0.060837053,0,0.057058591,0,0.07391493,0,0.326856792,1,0.108896717,0
25,reduced the proportion of women with prom undelivered,0.066540942,0,0.102691293,0,0.05378497,0,0.082036912,0,0.093986206,0,0.058364231,0,0.069913961,0,0.0589111,0,0.043807443,0,0.08285436,0,0.037352119,0,0.039184656,0,0.043604828,0,0.139353633,0,0.092960179,0,0.059481647,0,0.054997541,0,0.07393048,0,0.330564916,0,0.116453141,1
26,significantly fewer patients were undelivered,0.072659865,0,0.11199452,0,0.053452462,0,0.082163677,0,0.085264698,0,0.058697231,0,0.066332296,0,0.056449711,0,0.042749058,0,0.08236216,0,0.037343871,0,0.038400851,0,0.04301399,0,0.132332981,0,0.088448711,0,0.054934613,0,0.053358633,0,0.072066486,0,0.290762395,0,0.115109123,1
27,rupture of membranes to delivery interval was significantly reduced,0.066308051,0,0.097801022,0,0.059672851,0,0.085699208,0,0.106099099,0,0.062209252,0,0.075665325,0,0.066974446,0,0.047358427,0,0.086192548,0,0.041046847,0,0.043273829,0,0.046858627,0,0.136418015,0,0.101010464,0,0.067447022,0,0.059854683,0,0.082181476,0,0.380721539,1,0.122647107,0
28,increased patient satisfaction,0.06751246,0,0.106417686,0,0.052651431,0,0.081697784,0,0.083164833,0,0.059039608,0,0.065445289,0,0.052692048,0,0.040393464,0,0.082812212,0,0.035980083,0,0.037450831,0,0.04173309,0,0.146834031,0,0.087177143,0,0.053276632,0,0.053880822,0,0.06815061,0,0.276992738,0,0.110462293,1
29,3086 adults,0.341874421,1,0.181325242,0,0.126486003,0,0.092595607,0,0.089810684,0,0.084408656,0,0.049674965,0,0.066315502,0,0.071894847,0,0.072534807,0,0.047869854,0,0.066912033,0,0.065572336,0,0.206612006,0,0.095828645,0,0.062942423,0,0.076798618,0,0.080939241,0,0.131689072,0,0.107659124,0
30,aged 18 years or older,0.196761608,0,0.1696603,0,0.141879618,1,0.097251974,0,0.069464989,0,0.080029786,0,0.047681354,0,0.053054746,0,0.061688837,0,0.071875975,0,0.048662376,0,0.065495946,0,0.066797316,0,0.202863991,0,0.089560501,0,0.046389166,0,0.070597775,0,0.073079079,0,0.102955356,0,0.100499734,0
31,unstable angina or non q wave acute myocardial infarction,0.094909303,0,0.150224909,1,0.059801396,0,0.082942523,0,0.070453517,0,0.050725937,0,0.05117923,0,0.051280245,0,0.045843486,0,0.069890201,0,0.036969233,0,0.037032269,0,0.046797641,0,0.165434942,0,0.080008738,0,0.0463707,0,0.051489886,0,0.066528961,0,0.1647273,0,0.086175188,0
32,chest pain or discomfort of at least 15 minutes duration that occurred at rest or with minimal exertion,0.06916967,0,0.125507563,1,0.051647462,0,0.081467465,0,0.069179036,0,0.053381566,0,0.05632196,0,0.047296241,0,0.041022096,0,0.078205347,0,0.034108195,0,0.037555911,0,0.04149577,0,0.191205963,0,0.079697758,0,0.04383783,0,0.052098688,0,0.060518656,0,0.176136628,0,0.092983685,0
33,treatment with atorvastatin 80 mg d or matching placeboebo,0.090257257,0,0.102583431,0,0.059858333,0,0.063328013,0,0.081639692,0,0.054827847,0,0.046027955,0,0.04542603,0,0.043312199,0,0.058409676,0,0.034086198,0,0.043155886,0,0.050604142,0,0.500555038,1,0.096064232,0,0.047926519,0,0.060287353,0,0.068676867,0,0.138730764,0,0.081309482,0
34,1538 were randomly assigned to receive atorvastatin and 1548 to receive placebo,0.108710214,0,0.109964192,0,0.073056839,0,0.067643464,0,0.079559088,0,0.059502322,0,0.046142377,0,0.045326781,0,0.046162374,0,0.060764451,0,0.035732683,0,0.052098714,0,0.057799067,0,0.550713062,1,0.10019584,0,0.048128873,0,0.065829478,0,0.074526004,0,0.122497827,0,0.086509071,0
35,16 weeks,0.153337032,0,0.125455782,0,0.080467023,0,0.073989935,0,0.063645169,0,0.063855052,0,0.042022947,0,0.042474654,0,0.043026961,0,0.060245574,0,0.034599435,0,0.043272898,0,0.045992635,0,0.26113984,1,0.077946909,0,0.040165026,0,0.058392774,0,0.058882114,0,0.111863665,0,0.07964211,0
36,treatment with atorvastatin 80 mg d initiated soon after presentation with unstable angina or non q wave acute mi reduces the occurrence of early recurrent ischemic events and death,0.066065915,0,0.107662566,0,0.052377872,0,0.077978715,0,0.091978803,0,0.051748697,0,0.063632421,0,0.059465844,0,0.043813732,0,0.076935142,0,0.037066687,0,0.037771013,0,0.044522636,0,0.14876394,0,0.095367156,0,0.058628902,0,0.053101189,0,0.07560277,0,0.30850479,1,0.107969828,0
37,treatment with 80 mg d of atorvastatin initiated 24 to 96 hours after an acs reduces the risk of relative risk 95 confidence interval death nonfatal acute myocardial infarction,0.063629568,0,0.107261054,0,0.049341597,0,0.072365038,0,0.083676182,0,0.04926138,0,0.059003487,0,0.053079411,0,0.040794656,0,0.071567558,0,0.034680136,0,0.035144717,0,0.042027041,0,0.170925975,0,0.092913225,0,0.052451864,0,0.050649725,0,0.068487525,0,0.259311229,1,0.097818106,0
38,treatment with 80 mg d of atorvastatin initiated during the acute phase of unstable angina or non q wave acute mi reduces the risk of early recurrent ischemic events primarily recurrent symptomatic ischemia requiring hospitalization,0.067534275,0,0.111189619,0,0.052052006,0,0.076206326,0,0.089225873,0,0.050321564,0,0.061119489,0,0.058620621,0,0.043283246,0,0.074541204,0,0.036847629,0,0.03690815,0,0.044178229,0,0.150578111,0,0.094245128,0,0.056921754,0,0.051711753,0,0.074811913,0,0.287147492,1,0.103610694,0
39,pregnant women,0.132527366,0,0.124349006,0,0.073924303,0,0.079762094,0,0.06449113,0,0.068611227,0,0.047115091,0,0.044122867,0,0.04201385,0,0.067194209,1,0.03724565,0,0.041052341,0,0.043866824,0,0.191984668,0,0.073152207,0,0.0413233,0,0.056731056,0,0.058722816,0,0.128943115,0,0.082638733,0
40,compare the ef cacy of equivalent doses of orally administered with vaginally administered misoprostol in induction of labour,0.062038474,0,0.099171288,0,0.047492888,0,0.064418316,0,0.082164094,1,0.049322151,0,0.054731686,0,0.047273591,0,0.038594179,0,0.061716083,0,0.032849088,0,0.033638474,0,0.039917883,0,0.255666882,0,0.093731701,0,0.048610616,0,0.051291879,0,0.06363868,0,0.208431989,0,0.086088531,0
41,previous uterine surgery,0.089312702,0,0.123822294,1,0.060203396,0,0.072309665,0,0.066401727,0,0.053520359,0,0.045471802,0,0.042595446,0,0.040238384,0,0.06326054,0,0.033156436,0,0.03730277,0,0.042555869,0,0.268991023,0,0.078261197,0,0.04002656,0,0.051546205,0,0.059214048,0,0.121532463,0,0.076169081,0
42,a normal fetal heart tracing,0.1151824,0,0.141122773,1,0.070683949,0,0.079376914,0,0.062252492,0,0.055812873,0,0.044841778,0,0.044534776,0,0.0456075,0,0.065929607,0,0.035785533,0,0.040361006,0,0.045682654,0,0.221890137,0,0.079052851,0,0.040927228,0,0.053554177,0,0.060310628,0,0.117236421,0,0.079491161,0
43,two hundred and forty ve women,0.313475847,1,0.178832501,0,0.125233129,0,0.090292096,0,0.084302641,0,0.079042986,0,0.048477381,0,0.060672857,0,0.066160463,0,0.070280008,0,0.045961138,0,0.065737434,0,0.064719088,0,0.230256677,0,0.095384799,0,0.058981039,0,0.074427269,0,0.076203123,0,0.121339537,0,0.10038057,0
44,a diagnosis of labour was made or the cervical bishop s score was 8 or more,0.076847255,0,0.114545316,0,0.056044016,0,0.072554894,0,0.06341096,0,0.051593617,0,0.045255851,0,0.041344691,0,0.038676154,0,0.067014776,0,0.031719692,0,0.038847666,0,0.041972205,0,0.277039111,1,0.078560568,0,0.039390225,0,0.052568026,0,0.05783122,0,0.139290899,0,0.080190264,0
45,randomly assigned to receive 50mgm of misoprostol orally or vaginally,0.107261129,0,0.109395869,0,0.074737236,0,0.070098542,0,0.088307694,0,0.062656067,0,0.049677055,0,0.050407954,0,0.049906272,0,0.064217612,0,0.039106596,0,0.053684276,0,0.061958514,0,0.594607413,1,0.109699629,0,0.053844057,0,0.069911115,0,0.080104254,0,0.125806332,0,0.087581858,0
46,were also asked to state their preference,0.082055449,0,0.109027751,0,0.06012921,0,0.070743956,0,0.062128,0,0.054998796,0,0.044302121,0,0.039674677,0,0.037722364,0,0.064755566,0,0.031488393,0,0.040869456,0,0.042377949,0,0.325622588,1,0.078723714,0,0.039029069,0,0.055611849,0,0.058792282,0,0.131920502,0,0.083297774,0
47,had a failed induction with oral misoprostol eventually went into labour,0.066272296,0,0.099160649,0,0.046039067,0,0.063858271,0,0.079988524,0,0.050689563,0,0.051732834,0,0.044750571,0,0.0373151,0,0.060643487,0,0.031904791,0,0.033981543,0,0.040695813,0,0.290070832,0,0.088429816,0,0.046772853,1,0.052550796,0,0.062983155,0,0.202903628,0,0.084540017,0
48,did not respond to pge 2,0.0631283,0,0.099487051,0,0.051363897,0,0.079025663,0,0.088714339,0,0.056070987,0,0.067189574,0,0.055550918,0,0.041450933,0,0.078584425,0,0.03602685,0,0.038080409,0,0.041800629,0,0.152935371,0,0.093098499,0,0.056566492,1,0.054165896,0,0.071905755,0,0.304557145,0,0.111484177,0
49,vaginal misoprostol resulted in signi cantly more women delivering within 24 hours of the induction,0.066060491,0,0.098172642,0,0.054071527,0,0.077023439,0,0.09733399,0,0.054716554,0,0.066148952,0,0.060381074,0,0.044075273,0,0.077742592,0,0.037703067,0,0.039762959,0,0.044605505,0,0.151300669,0,0.097883947,0,0.06153157,0,0.055874992,0,0.0770704,0,0.340362966,0,0.113015607,1
50,delivered vaginally was signi cantly shorter in the vaginal misoprostol group,0.060691595,0,0.09581738,0,0.046786293,0,0.066512726,0,0.085734956,0,0.051067807,0,0.057397984,0,0.048035212,0,0.038688671,0,0.065557063,0,0.033083189,0,0.034402713,0,0.040177502,0,0.229483753,0,0.093142331,0,0.050635908,0,0.05275422,0,0.065651886,0,0.244609848,0,0.09314695,1
51,higher in the oral group,0.060915936,0,0.095381364,0,0.054317646,0,0.082490243,0,0.096411914,0,0.06181838,0,0.073876388,0,0.057762641,0,0.042173725,0,0.085838437,0,0.03783071,0,0.04067963,0,0.041912712,0,0.154458031,0,0.095640451,0,0.060317967,0,0.057441752,0,0.073769972,0,0.332001716,1,0.117381804,0
52,more women were delivered within 24 hour,0.076352768,0,0.105670914,0,0.051545702,0,0.066816546,0,0.066911042,0,0.05104376,0,0.046226159,0,0.041605208,0,0.037577022,0,0.062149018,0,0.030955827,0,0.035662755,0,0.038790625,0,0.284098595,0,0.080796994,0,0.040265188,0,0.050871495,0,0.056827303,0,0.144579709,0,0.078981161,1
53,the ease and less invasive nature of the oral administration as positive points,0.062977001,0,0.097172275,0,0.05539944,0,0.0810102,0,0.102665417,0,0.059838623,0,0.072374292,0,0.060726874,0,0.043154251,0,0.083621226,0,0.03834895,0,0.04131059,0,0.043948151,0,0.149467379,0,0.097206891,0,0.061906282,0,0.058192298,0,0.076046728,0,0.350842267,0,0.117249094,1
54,assess endothelin 1 et 1 a potent melanocyte mitogen,0.063517444,0,0.097686201,0,0.052861515,0,0.073710918,0,0.090843223,0,0.052088305,0,0.063055545,0,0.057349991,1,0.042132623,0,0.073479071,0,0.036414601,0,0.037555818,0,0.042998053,0,0.158095971,0,0.098206587,0,0.057258159,0,0.054648843,0,0.072340645,0,0.299553573,0,0.103631184,0
55,patients with psoriasis,0.115827635,0,0.1470083,0,0.06711179,0,0.085930444,1,0.065789096,0,0.056982245,0,0.050328307,0,0.048696823,0,0.045333076,0,0.071010545,0,0.036855426,0,0.039884511,0,0.047385551,0,0.154352978,0,0.07546562,0,0.0443042,0,0.054460898,0,0.063865185,0,0.151631072,0,0.088627927,0
56,healthy subjects,0.098771013,0,0.116838552,0,0.059694864,0,0.071453832,1,0.064131543,0,0.055207685,0,0.042957649,0,0.041113056,0,0.039037075,0,0.061648276,0,0.031771354,0,0.037191164,0,0.041585676,0,0.242220461,0,0.075433902,0,0.039489988,0,0.051602699,0,0.056511179,0,0.129113376,0,0.076723345,0
57,not received any therapy including phototherapy,0.095424287,0,0.109276094,0,0.06508366,0,0.066930793,0,0.076228693,0,0.056451462,0,0.045212019,0,0.043972373,0,0.04328141,1,0.060275335,0,0.034350179,0,0.045424439,0,0.050970767,0,0.499567419,0,0.094245553,0,0.045392588,0,0.061178971,0,0.068027176,0,0.12124946,0,0.08148925,0
58,with nonsegmental vitiligo treated with puva n 20 at 8 16 and 24 h following the puva session,0.081223235,0,0.106427796,0,0.057595748,0,0.065329671,0,0.071940899,0,0.051429603,0,0.044588696,0,0.04318637,0,0.040606506,0,0.059545241,0,0.032395046,0,0.039346892,0,0.04474758,0,0.402146876,0,0.087760799,1,0.042727754,0,0.055271972,0,0.061631259,0,0.12620987,0,0.077809766,0
59,as controls,0.081214517,0,0.103601001,0,0.053103071,0,0.069623612,0,0.067629896,0,0.056740027,0,0.046664231,0,0.040914424,0,0.035938665,0,0.064525068,0,0.030744763,0,0.036079671,0,0.039638095,0,0.26365152,1,0.075794987,0,0.040170517,0,0.053542849,0,0.055647608,0,0.152136669,0,0.080744423,0
60,vitiligo area scoring index vasi and psoriasis area severity index pasi,0.088074557,0,0.133400932,0,0.057283852,0,0.077408373,0,0.067940399,0,0.050450791,0,0.048962075,0,0.048282426,0,0.042499971,0,0.068383984,0,0.034519676,0,0.036414929,0,0.043606427,0,0.176548496,0,0.080645837,0,0.043416854,0,0.051007025,1,0.060576245,0,0.157736808,0,0.083139747,0
61,oral 8 methoxypsoralen 0 6 mg kg,0.095848642,0,0.102486476,0,0.067306794,0,0.067310981,0,0.085942775,0,0.062035508,0,0.049558703,0,0.048182435,0,0.047312014,0,0.063762784,0,0.037607566,0,0.049637407,0,0.056977991,0,0.559203506,1,0.10158509,0,0.052071709,0,0.067392871,0,0.07510636,0,0.132738113,0,0.088233203,0
62,followed after 2 h by uva exposure,0.074804455,0,0.1098231,0,0.05069172,0,0.066037342,0,0.069559336,0,0.049077109,0,0.04658068,0,0.042031121,0,0.038286455,0,0.060593214,0,0.030859651,0,0.034980197,0,0.040774107,0,0.298170537,0,0.080170989,1,0.041274797,0,0.051333521,0,0.059454799,0,0.148779869,0,0.079385191,0
63,plasma et 1 levels in vitiligo and psoriasis were found to be elevated above the values of healthy controls in this current study,0.067465104,0,0.099486746,0,0.054276034,0,0.079001002,0,0.097121432,0,0.056913584,0,0.067346282,0,0.059885073,0,0.044753119,0,0.080210768,0,0.037838887,0,0.039781872,0,0.045476135,0,0.147858098,0,0.0972514,0,0.06186289,0,0.056506883,0,0.076444753,0,0.34885627,1,0.115386836,0
64,the elevation of plasma et 1 in response to puva therapy is accompanied by generalized hyperpigmentation and repigmentation of vitiligo,0.068003088,0,0.100006819,0,0.056421056,0,0.080035992,0,0.100883357,0,0.05596365,0,0.067946985,0,0.064089142,0,0.045739152,0,0.080370367,0,0.039084747,0,0.040925287,0,0.0457839,0,0.143362477,0,0.098691531,0,0.064200476,0,0.056994993,0,0.07943055,0,0.356690526,1,0.114941634,0
65,it is likely that the decline in et 1 is the result,0.063549571,0,0.092957966,0,0.059928272,0,0.085101165,0,0.108749807,0,0.065173395,0,0.078379087,0,0.065703064,0,0.047531184,0,0.085203826,0,0.041371025,0,0.045656573,0,0.045710843,0,0.153469041,0,0.100612253,0,0.069296256,0,0.060881589,0,0.081307597,0,0.380735308,1,0.122808374,0
66,percutaneous transluminal coronary angioplasty ptca or coronary stenting cs,0.075025402,0,0.124271788,0,0.052697398,0,0.071000889,0,0.070752285,0,0.047490906,0,0.048152186,1,0.045623582,0,0.040529296,0,0.063961536,0,0.032543667,0,0.034272674,0,0.042057995,0,0.248351201,0,0.083621763,0,0.043190289,0,0.050410189,0,0.061203346,0,0.14845787,0,0.07846158,0
67,118 consecutive patients,0.32951501,1,0.17783621,0,0.119275935,0,0.092305452,0,0.086698569,0,0.082639813,0,0.051087566,0,0.063565195,0,0.068294369,0,0.071860678,0,0.046546016,0,0.063078731,0,0.062103566,0,0.203292742,0,0.093368597,0,0.060486414,0,0.074526019,0,0.078543633,0,0.131305337,0,0.105958968,0
68,23 patients 11 in group t 12 in group c,0.180629343,1,0.151087001,0,0.08748886,0,0.080809467,0,0.066782705,0,0.062376104,0,0.042579561,0,0.04835498,0,0.050145898,0,0.062280592,0,0.036741443,0,0.046747074,0,0.050498571,0,0.214841977,0,0.080531433,0,0.045891676,0,0.057579536,0,0.065708667,0,0.120966487,0,0.085199267,0
69,stretching and calisthenics,0.088421263,0,0.106631942,0,0.061206155,0,0.066475622,0,0.074776672,0,0.05825628,0,0.045235381,0,0.043034937,0,0.039023343,0,0.062514752,0,0.033402096,0,0.042365965,0,0.047188725,0,0.440904379,1,0.090488188,0,0.04292842,0,0.061910622,0,0.063438892,0,0.126716912,0,0.078118674,0
70,avoid any physical training,0.080751061,0,0.109344475,0,0.056713946,0,0.068170466,0,0.070435405,0,0.053194847,0,0.044222947,0,0.041589346,0,0.038817517,0,0.061009265,0,0.031680483,0,0.038931586,0,0.043643214,0,0.360765636,1,0.084026925,0,0.041027974,0,0.054513343,0,0.060669109,0,0.129368663,0,0.080074608,0
