id,text,file_path,predicted_iprocedure,predicted_posize,predicted_podisease,predicted_otreatment,predicted_idiagnostic,predicted_opatient,predicted_prdisease,predicted_pogender,predicted_poage,predicted_idiagnostictest,predicted_iss,predicted_pophyconditon,predicted_poss,predicted_prss,predicted_poprocedure,predicted_potreatment,predicted_idisease,predicted_pomedhistory,predicted_prbehavior,predicted_poclinical,value_posize,value_podisease,value_iprocedure,value_iss,value_opatient,value_otreatment,value_prdisease,value_pogender,value_idiagnostic,value_idiagnostictest,value_poage,value_pophyconditon,value_idisease,value_prss,value_poss,value_potreatment,value_poprocedure,value_poclinical,value_prbehavior,value_pomedhistory,predicted_p,predicted_i,predicted_o,value_p,value_i,value_o
10,all women had electronic fetal heart rate monitoring for 45 minutes prior to and following administration of each misoprostol dose,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv,0.298223794,0.052301697,0.035912234,0.025739243,0.033386692,0.024138117,0.027902205,0.025434149,0.019275969,0.019542163,0.018993322,0.017062295,0.018424714,0.013575138,0.012876361,0.013084386,0.012017696,0.009671832,0.008635948,0.010352922,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.070810728,0.946846128,0.074275196,0,1,0
11,methods the women were randomised to receive 50 mg of misoprostol orally or vaginally every 6 h until the cervix was favourable for amniotomy spontaneous rupture of membranes or active labour occurred,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv,0.494367987,0.064241596,0.039223012,0.033054799,0.043575305,0.029713467,0.034868132,0.034990095,0.023041261,0.025238425,0.025239905,0.021351648,0.025101639,0.018838597,0.017066086,0.01966765,0.018121412,0.013941241,0.013057405,0.016766079,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077119939,0.947260797,0.068519048,0,1,0
12,sample size was calculated with a two tailed alpha of 0 05 and a power of 95 to detect a 5 h difference in induction to delivery time,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv,0.073510483,0.049516484,0.030348433,0.036570098,0.026056027,0.030693647,0.025649259,0.017630417,0.021791853,0.01717357,0.018417291,0.01692812,0.015339305,0.013018236,0.01125605,0.010714511,0.008946491,0.006689048,0.008097081,0.005676294,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.070618741,0.936830521,0.073822081,0,1,0
13,women randomised to vaginal misoprostol had the tablet placed by the resident or attending physician in the vaginal vault,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv,0.315354764,0.05393815,0.036288332,0.027555872,0.032861043,0.024394758,0.028179342,0.026137901,0.019037712,0.019632624,0.01951357,0.016880084,0.019218367,0.014120276,0.013102785,0.013736207,0.012170423,0.009528514,0.008915861,0.010650863,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100882679,0.946601987,0.046809159,0,1,0
14,results the median induction to delivery time was significantly shorter with vaginal misoprostol 15 7 h range 4 3 55 7 compared with oral misoprostol 23 0 h range 3 2 141 7 p 0 0013,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv,0.047894906,0.036094509,0.039373312,0.625119507,0.036991071,0.124976523,0.047243662,0.023556424,0.024584239,0.025846468,0.043679386,0.031389635,0.02690254,0.027965803,0.025007112,0.024613149,0.021759106,0.016580399,0.018529698,0.017179187,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036001489,0.068395324,0.966296017,0,0,1
15,conclusions compared with oral misoprostol vaginal misoprostol for induction of labour at term results in a shorter induction to delivery time with fewer doses required per patient,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv,0.044316053,0.033542696,0.045020841,0.645766556,0.037815038,0.123221494,0.054140292,0.024261802,0.026254283,0.026452675,0.043633938,0.034317028,0.028036317,0.028588625,0.026833739,0.025289005,0.022705279,0.017377343,0.017869566,0.018038413,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053025752,0.048029259,0.965317369,0,0,1
16,vaginal misoprostol may be associated with higher rates of caesarean section than oral misoprostol,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv,0.039593671,0.030501602,0.038035013,0.506999373,0.032578774,0.097789332,0.041994348,0.020362603,0.022291558,0.021629341,0.035514731,0.027045051,0.022336021,0.023906315,0.019824333,0.020106252,0.016866928,0.012863675,0.014731839,0.012890088,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051006354,0.045751609,0.954336703,0,0,1
17,although there was no statistically significant difference between oral and vaginal misoprostol with respect to emergency caesarean sections it is important to note that there were more emergency caesarean sections in the vaginal group,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv,0.042244148,0.034288611,0.038762871,0.567491531,0.03617895,0.118075423,0.043711465,0.022064138,0.02433441,0.024164665,0.04022336,0.028866749,0.024755703,0.027474171,0.022554917,0.022798525,0.0191043,0.014018778,0.017319035,0.014607301,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036069054,0.068815015,0.966465652,0,0,1
18,in total 103 patients were recruited 51 in the misoprostol group and 52 in the placebo group,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11226441_element.csv,0.096911207,0.053864852,0.03252171,0.028141692,0.025694171,0.026983775,0.025166625,0.019441497,0.022046879,0.017455336,0.018033326,0.017023329,0.015755571,0.012279294,0.011384582,0.010524557,0.009132324,0.006988573,0.007676328,0.006024062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893687189,0.245155409,0.028614964,1,0,0
19,the aim of this study was to examine the efficacy of oral misoprostol as an oxytocic agent in women with prom and to monitor the incidence of adverse maternal and fetal effects in the treatment arm of the study,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11226441_element.csv,0.066676527,0.038059108,0.044293869,0.037055425,0.025371676,0.02526949,0.03485566,0.019637201,0.021877222,0.015959332,0.018752212,0.019274743,0.016135067,0.012031456,0.010609929,0.010116487,0.009028041,0.007330592,0.006425828,0.005818999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942642331,0.077270806,0.110545814,1,0,0
20,at the time of recruitment the women received one of the tablets and both groups re ceived again the same drug as before misoprostol,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11226441_element.csv,0.35093227,0.053385902,0.031907752,0.031187767,0.036191039,0.026858529,0.031402845,0.026491247,0.018477714,0.019456102,0.020488804,0.018418254,0.019284341,0.015292454,0.014021982,0.014809488,0.013926567,0.011137489,0.009742861,0.011907513,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.112369224,0.910850883,0.058162268,1,0,0
21,at the time of recruitment the women received one of the tablets and both groups received again the same drug as before misoprostol,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11226441_element.csv,0.376669914,0.054392274,0.031374041,0.033633191,0.036574792,0.027983943,0.0313549,0.027282087,0.018496752,0.020091314,0.021092372,0.018779984,0.01977412,0.0157094,0.014551994,0.015989291,0.014684359,0.011736716,0.010255477,0.012847034,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10556078,0.902423739,0.063867204,0,1,0
22,an initial continuous ctg for 1 h was recorded followed by intermittent ctg or continuous ctg once in active labor,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11226441_element.csv,0.37119922,0.053839769,0.033605523,0.031713996,0.036476444,0.027172288,0.031160373,0.027337929,0.019397967,0.020180242,0.020294916,0.018122273,0.020522172,0.014294989,0.013641994,0.015242213,0.014056027,0.01173868,0.009488088,0.012679083,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059245571,0.940983891,0.117551073,0,1,0
23,the vitamin c tablet was nearly identical in appearance with the misoprostol tablet and has no known effect on labor,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11226441_element.csv,0.044657238,0.027216673,0.027535379,0.215238079,0.025306009,0.055008784,0.028925717,0.015466427,0.015568264,0.015656784,0.024264958,0.018829625,0.014533202,0.016082542,0.012052565,0.012950269,0.010312801,0.008356189,0.009049951,0.007795747,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032287445,0.678638875,0.446836859,0,1,0
24,oral misoprostol in the suggested dose is an effective oxytocic when used for induction of labor in women with prom,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11226441_element.csv,0.047896549,0.031605631,0.03389499,0.516807795,0.033645343,0.091836549,0.042991735,0.02067953,0.020743215,0.021743247,0.03531234,0.026845533,0.021868704,0.024752192,0.020883551,0.021157388,0.017612876,0.013704816,0.015699355,0.013481702,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044522732,0.090535849,0.866467595,0,0,1
25,oral misoprostol significantly reduced the proportion of women with prom undelivered within 12 h of treatment,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11226441_element.csv,0.043566808,0.03222011,0.039870195,0.575458944,0.034258515,0.108961016,0.045959454,0.021957541,0.023785524,0.023797967,0.038732201,0.030042103,0.024558347,0.025068836,0.022158977,0.022522306,0.020094968,0.015109626,0.016101317,0.015675984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051579271,0.046934437,0.959363818,0,0,1
26,in addition significantly fewer patients were undelivered after 24 h and the rupture of membranes to delivery interval was significantly reduced,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11226441_element.csv,0.042980358,0.032889728,0.0390159,0.591406405,0.03546292,0.114251509,0.046573546,0.02251216,0.024786746,0.024474792,0.039445426,0.030068723,0.025067337,0.026119553,0.023119012,0.023448415,0.02049426,0.015304212,0.017346032,0.015923822,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465688,0.059804268,0.963003814,0,0,1
27,this study also showed increased patient satisfaction when the vaginal approach w x was avoided 2,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11226441_element.csv,0.042380318,0.029889714,0.029649144,0.386207134,0.029397869,0.081008881,0.033939376,0.017968077,0.019146828,0.018978845,0.029650297,0.022618502,0.018343586,0.019639216,0.015978843,0.017127817,0.014012768,0.010987337,0.01252989,0.010565843,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04497353,0.061495397,0.966872931,0,0,1
28,patients a total of 3086 adults aged 18 years or older with unstable angina or non q wave acute myocardial infarction,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11277825_element.csv,0.062623747,0.063419402,0.144956529,0.027462896,0.037944961,0.030258302,0.048207499,0.028935082,0.049810808,0.023103669,0.024337333,0.041051321,0.032301448,0.015419034,0.017700117,0.013498276,0.016865263,0.017172877,0.009328745,0.009097517,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.948202252,0.075739443,0.084418073,1,0,0
29,eligible patients were adults aged 18 years or older with chest pain or discomfort of at least 15 minutes duration that occurred at rest or with minimal exertion within the 24 hour period preceding hospitalization and represented a change from their usual anginal pattern,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11277825_element.csv,0.066034988,0.07023368,0.201958805,0.03416631,0.047152396,0.035434909,0.061057031,0.030014785,0.062480025,0.026880981,0.029807551,0.056186941,0.039756175,0.019097855,0.022197396,0.015352159,0.02362854,0.023126464,0.010860249,0.012817267,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944439828,0.078277282,0.087061174,1,0,0
30,between 24 and 96 hours after hospital admission eligible patients were randomly assigned with stratification by center to double blind treatment with atorvastatin 80 mg d or matching placebo for 16 weeks,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11277825_element.csv,0.383351862,0.062771127,0.037112322,0.026546083,0.036394168,0.025688125,0.029682057,0.029748559,0.021764811,0.022080338,0.021471588,0.018557103,0.021732923,0.015079013,0.014387725,0.015308927,0.013888331,0.011157431,0.010064561,0.012210881,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096884213,0.948265851,0.045872118,0,1,0
31,between may 1997 and september 1999 3086 patients were enrolled 1538 were randomly assigned to receive atorvastatin and 1548 to receive placebo figure 1,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11277825_element.csv,0.212328061,0.067436554,0.03907036,0.022002693,0.031871803,0.024746839,0.026745632,0.025910476,0.025267165,0.02115595,0.020122351,0.018213935,0.019478284,0.013222773,0.013185333,0.012123939,0.011537434,0.008865295,0.009444339,0.008387201,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154683024,0.91614908,0.030589821,0,1,0
32,the myocardial ischemia reduction with aggressive cholesterol lowering miracl study tested the hypothesis that treatment with atorvastatin 80 mg d initiated soon after presentation with unstable angina or non q wave acute mi reduces the occurrence of early recurrent ischemic events and death,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11277825_element.csv,0.044321567,0.036112763,0.049705982,0.688234568,0.041381873,0.137556732,0.056800183,0.026766572,0.02832865,0.028421041,0.049458425,0.036542118,0.030735111,0.033385646,0.029418746,0.028599499,0.024423175,0.018061677,0.020728962,0.019123312,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145115614,0.027150296,0.915613055,0,0,1
33,our finding that treatment with 80 mg d of atorvastatin initiated 24 to 96 hours after an acs reduces the risk of relative risk 95 confidence interval death nonfatal acute myocardial infarction and resuscitated cardiac arrest were not significantly reduced in the atorvastatin group compared with the placebo group,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11277825_element.csv,0.050535079,0.038196556,0.054210909,0.722080767,0.043731462,0.145312995,0.063662693,0.028532051,0.029721009,0.030727156,0.052365426,0.040511202,0.034188356,0.034710139,0.032739464,0.030958608,0.027913807,0.021029536,0.021402853,0.023147803,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042760555,0.052692194,0.965703547,0,0,1
34,in conclusion the results of this trial indicate that treatment with 80 mg d of atorvastatin initiated during the acute phase of unstable angina or non q wave acute mi reduces the risk of early recurrent ischemic events primarily recurrent symptomatic ischemia requiring hospitalization,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11277825_element.csv,0.045332313,0.035236288,0.058535937,0.709486485,0.043531731,0.141895548,0.066177197,0.028181808,0.030935723,0.029995425,0.04957981,0.042076461,0.032937024,0.034228228,0.032248463,0.030109763,0.027385062,0.020418119,0.020395022,0.022540666,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042104419,0.050695587,0.964383304,0,0,1
35,participants two hundred and forty ve pregnant women at term with medical or obstetric indications for labour induction and unfavourable cervices,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.095835805,0.062093049,0.10152401,0.021280533,0.033608641,0.025040185,0.038401324,0.027936835,0.036933515,0.020269137,0.021260068,0.03018653,0.026305297,0.012757519,0.014486359,0.011757115,0.013449876,0.013196281,0.00819155,0.008129026,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.950667381,0.09356533,0.073677689,1,0,0
36,objective to compare the ef cacy of equivalent doses of orally administered with vaginally administered misoprostol in induction of labour at term,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.097710319,0.044450231,0.055090513,0.025567351,0.028342729,0.02252234,0.033494301,0.022583805,0.023432478,0.017337589,0.019394629,0.019801563,0.018886449,0.01269062,0.011571635,0.010415197,0.00972871,0.007993778,0.006936877,0.006791971,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945833087,0.092668451,0.065355092,1,0,0
37,women with previous uterine surgery including a previous caesarean section with signi cant fetal or medical concerns or known contraindications to the use of prostaglandins were excluded,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.080471985,0.065223597,0.183229879,0.031056801,0.044156466,0.030426929,0.056747396,0.025671242,0.04942397,0.022412717,0.027184896,0.052004378,0.034818433,0.017862502,0.019135382,0.01315811,0.021651005,0.021538651,0.010271821,0.012826363,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948066473,0.08200682,0.095969208,1,0,0
38,a normal fetal heart tracing and a cervical bishops score of less than 8 were also criteria for inclusion,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.04535795,0.043090623,0.063825518,0.035594542,0.025453612,0.028336568,0.035311237,0.022865728,0.030091625,0.018300587,0.020696329,0.023497043,0.018763719,0.012737487,0.012157159,0.011410069,0.010895851,0.009216909,0.007113349,0.006133554,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935438156,0.096167058,0.055970751,1,0,0
39,two hundred and forty ve women were recruited for the trial marginally over the intended sample size,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.082531013,0.05670274,0.039273523,0.026696369,0.025900489,0.027022144,0.026746757,0.02058983,0.025748499,0.01835206,0.018481307,0.018771481,0.01670295,0.012310215,0.011874229,0.010980126,0.009566138,0.007775737,0.008188491,0.006097331,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.934121192,0.094458714,0.156944826,1,0,0
40,if a diagnosis of labour was made or the cervical bishop s score was 8 or more she was transferred to labour ward for arti cial rupture of membranes,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.213558242,0.054059111,0.046156805,0.020532539,0.031717818,0.021715924,0.029295567,0.025464531,0.022309221,0.01862473,0.019117735,0.018742373,0.019599201,0.012021943,0.012202643,0.01123374,0.010997673,0.0093822,0.007701315,0.008545744,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076428264,0.938244522,0.068066292,0,1,0
41,methods the women were randomly assigned to receive 50mgm of misoprostol orally or vaginally four hourly to a maximum of ve doses,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.447758645,0.062194448,0.035598297,0.034171589,0.038741425,0.029012885,0.032798558,0.03117338,0.020997949,0.022899024,0.022828156,0.02024742,0.023412345,0.016934177,0.015783671,0.018102098,0.016298892,0.013334843,0.011685298,0.015190005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08892145,0.950076222,0.053913135,0,1,0
42,the women were also asked to state their preference for the route of administration of the induction agent oral or vaginal if they were to have another induction,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.166872144,0.047272753,0.040549904,0.023008864,0.027890567,0.021540988,0.027241921,0.02231924,0.019813046,0.017297899,0.017382538,0.017075775,0.017078424,0.01142103,0.011260721,0.010430148,0.009684703,0.0080036,0.006918625,0.007312065,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119232483,0.929132044,0.035106208,0,1,0
43,two of the women who had a failed induction with oral misoprostol eventually went into labour with pge 2 vaginal gel but underwent caesarean sections for inadequate progress in labour,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.170538381,0.04945077,0.053781927,0.023781583,0.032567661,0.023030205,0.032310281,0.025048416,0.022310751,0.018582307,0.021084005,0.019283174,0.020611634,0.013171218,0.012212394,0.011053119,0.011056534,0.008590755,0.007550952,0.008304493,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.053815253,0.919521093,0.112062588,0,1,0
44,three others in the oral group did not respond to pge 2 and had abdominal deliveries along with the three women who opted for caesarean sections since they did not want to try pge 2,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.080269352,0.047012579,0.051913671,0.027861932,0.025937326,0.024964778,0.030180758,0.022859829,0.024665834,0.017900983,0.020207006,0.020065805,0.01795667,0.012307978,0.011164462,0.010312187,0.009937629,0.00731383,0.006901939,0.006322478,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.064958349,0.930577159,0.091725238,0,1,0
45,this showed that vaginal misoprostol resulted in signi cantly more women delivering within 24 hours of the induction with less need for oxytocin and lower operative delivery rates 3,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.043778948,0.033145808,0.04169111,0.614848435,0.03656625,0.116090618,0.048699751,0.023155572,0.024396621,0.024711851,0.041116722,0.031889882,0.025810029,0.027213536,0.024213281,0.023802565,0.021266354,0.015939828,0.017697595,0.016386101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048133582,0.049857989,0.967921317,0,0,1
46,the mean induction to delivery interval in those who delivered vaginally was signi cantly shorter in the vaginal misoprostol group 17 8h vs 27 9h mean difference 10 1 h 95 ci 5 8 14 4 table 2 and the number of women who delivered with a single dose was higher 77 8 vs 51 1 rr 1 5 95 ci 1 2 2 0 as was the number who delivered within 24 hours of the start of the induction 80 vs 46 3 rr 1 5 95 ci 1 3 2 1,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.055612899,0.041288123,0.030841,0.235820159,0.035274617,0.084802181,0.02881933,0.020127444,0.021990743,0.021105425,0.030201538,0.021410145,0.018481854,0.023417391,0.015318627,0.01705016,0.013933286,0.007724438,0.013176668,0.009355904,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025008623,0.210779831,0.896585584,0,0,1
