id,text,file_path,otreatment,opatient,iprocedure,iss,idiagnostic,podisease,prss,prdisease,poage,idiagnostictest,poss,idisease,posize,potreatment,pophyconditon,pogender,poprocedure,pomedhistory,prbehavior,poclinical
10,all women had electronic fetal heart rate monitoring for 45 minutes prior to and following administration of each misoprostol dose,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv,0.06641309,0.055267952,0.429959238,0.054843165,0.076735035,0.083383799,0.043806061,0.051913414,0.065699406,0.051556699,0.046529777,0.04232581,0.098146409,0.033158027,0.049256336,0.05211344,0.025743492,0.030192677,0.028691633,0.029658636
11,methods the women were randomised to receive 50 mg of misoprostol orally or vaginally every 6 h until the cervix was favourable for amniotomy spontaneous rupture of membranes or active labour occurred,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv,0.077079304,0.061484832,0.674170077,0.062913775,0.078443564,0.064819492,0.051862102,0.073569976,0.051791545,0.055473126,0.038380381,0.046507716,0.107611686,0.03354723,0.050264075,0.060693942,0.032582767,0.031564668,0.029132398,0.0386361
12,sample size was calculated with a two tailed alpha of 0 05 and a power of 95 to detect a 5 h difference in induction to delivery time,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv,0.184653953,0.081288345,0.188575193,0.050921779,0.059530098,0.050978944,0.045311619,0.055298172,0.049002524,0.045127884,0.033951551,0.037668344,0.054138266,0.030083789,0.035062741,0.035000965,0.025537431,0.025718791,0.023516787,0.02372613
13,women randomised to vaginal misoprostol had the tablet placed by the resident or attending physician in the vaginal vault,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv,0.069615103,0.057517443,0.606261075,0.060007259,0.077375345,0.067104973,0.046510488,0.059838917,0.056840252,0.052782208,0.038816262,0.044443943,0.117239997,0.03368241,0.049428653,0.058954403,0.028970078,0.029869467,0.029908391,0.035096459
14,results the median induction to delivery time was significantly shorter with vaginal misoprostol 15 7 h range 4 3 55 7 compared with oral misoprostol 23 0 h range 3 2 141 7 p 0 0013,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv,0.630215883,0.159223944,0.100268476,0.058389828,0.060927123,0.0531018,0.070593566,0.071280904,0.050700638,0.044277485,0.043782119,0.050287575,0.043222144,0.038605321,0.043141142,0.043719873,0.045101028,0.030460024,0.030219162,0.031528581
15,conclusions compared with oral misoprostol vaginal misoprostol for induction of labour at term results in a shorter induction to delivery time with fewer doses required per patient,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv,0.653243005,0.155761302,0.09588474,0.054360572,0.062417571,0.0568312,0.071552195,0.086715408,0.050490193,0.044963956,0.044516984,0.050169803,0.045474485,0.038141169,0.042890459,0.045051806,0.047096115,0.029083351,0.028716167,0.031374212
16,vaginal misoprostol may be associated with higher rates of caesarean section than oral misoprostol,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv,0.599331439,0.144830942,0.099471495,0.052658524,0.058173802,0.057604279,0.067170478,0.073446177,0.049785934,0.041988529,0.044321738,0.046946663,0.042242121,0.035905316,0.041069407,0.042289507,0.042891417,0.028051948,0.027272886,0.029170906
17,although there was no statistically significant difference between oral and vaginal misoprostol with respect to emergency caesarean sections it is important to note that there were more emergency caesarean sections in the vaginal group,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv,0.59540081,0.146275878,0.105456106,0.052522138,0.059276477,0.052811041,0.065578125,0.073299371,0.047972385,0.041913074,0.041824073,0.046155762,0.042040881,0.035544358,0.04078592,0.041719574,0.043025687,0.027572462,0.026848564,0.028959209
18,in total 103 patients were recruited 51 in the misoprostol group and 52 in the placebo group,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11226441_element.csv,0.084061466,0.058548175,0.236403227,0.08823511,0.091999531,0.167579845,0.045822058,0.1155366,0.095018424,0.060968846,0.065973639,0.053701665,0.363983929,0.056277514,0.082358986,0.121485069,0.042030148,0.040009525,0.046678998,0.055974074
19,the aim of this study was to examine the efficacy of oral misoprostol as an oxytocic agent in women with prom and to monitor the incidence of adverse maternal and fetal effects in the treatment arm of the study,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11226441_element.csv,0.167976975,0.072698012,0.252021164,0.064591348,0.069812268,0.140561506,0.081017584,0.278368115,0.049065139,0.074656069,0.060216699,0.047663756,0.134770676,0.036490966,0.060414601,0.07999105,0.054076862,0.031987708,0.026411831,0.043586347
20,at the time of recruitment the women received one of the tablets and both groups re ceived again the same drug as before misoprostol,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11226441_element.csv,0.10129153,0.065784015,0.6192981,0.059287526,0.07148616,0.05250407,0.054564912,0.060893651,0.048247214,0.0535946,0.035843022,0.047673635,0.078063577,0.032380708,0.04363903,0.051907457,0.031670142,0.029435873,0.027726743,0.035293356
21,at the time of recruitment the women received one of the tablets and both groups received again the same drug as before misoprostol,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11226441_element.csv,0.101458259,0.065340444,0.600863159,0.059090491,0.069873355,0.051562469,0.053686477,0.057139792,0.048843455,0.053619791,0.035872005,0.047480918,0.07672362,0.032294046,0.042404886,0.05033927,0.030401727,0.029400021,0.027890107,0.03444102
22,an initial continuous ctg for 1 h was recorded followed by intermittent ctg or continuous ctg once in active labor,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11226441_element.csv,0.093981124,0.0668891,0.642754853,0.057749607,0.074028663,0.056653269,0.053625468,0.06767071,0.049079888,0.054897789,0.036945637,0.046465773,0.083375014,0.031386003,0.045997586,0.055350281,0.032729682,0.029063711,0.026557883,0.035434812
23,the vitamin c tablet was nearly identical in appearance with the misoprostol tablet and has no known effect on labor,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11226441_element.csv,0.436950684,0.115242824,0.168915674,0.051004622,0.055383176,0.045221891,0.057963349,0.055708598,0.0448495,0.041261762,0.035753209,0.041540325,0.038226333,0.032061592,0.035929393,0.035812285,0.035800561,0.026469545,0.025170568,0.025240127
24,oral misoprostol in the suggested dose is an effective oxytocic when used for induction of labor in women with prom,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11226441_element.csv,0.565571785,0.135862991,0.108614586,0.051956896,0.057287019,0.051412303,0.067655794,0.084423162,0.048438016,0.043453299,0.040407617,0.044355027,0.039793048,0.033906575,0.03717446,0.039379612,0.043058015,0.026859608,0.02596264,0.027766492
25,oral misoprostol significantly reduced the proportion of women with prom undelivered within 12 h of treatment,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11226441_element.csv,0.632762969,0.158994079,0.097302452,0.058197789,0.060599223,0.057087209,0.069450364,0.067044191,0.052945752,0.045247056,0.046636917,0.051174648,0.042928491,0.040165912,0.04340313,0.042947941,0.044268217,0.031632289,0.031385735,0.030829916
26,in addition significantly fewer patients were undelivered after 24 h and the rupture of membranes to delivery interval was significantly reduced,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11226441_element.csv,0.633849442,0.16313158,0.093416348,0.059584424,0.061366364,0.056738026,0.069998465,0.066341095,0.053623978,0.044509541,0.046712555,0.051775541,0.044765271,0.041199796,0.045140535,0.044050567,0.044797458,0.032274477,0.032114707,0.031767502
27,this study also showed increased patient satisfaction when the vaginal approach w x was avoided 2,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11226441_element.csv,0.641531944,0.163316309,0.092465356,0.057414006,0.061265461,0.057321254,0.071421824,0.069594525,0.054951515,0.04747517,0.047296099,0.050734837,0.042355459,0.040503364,0.043026961,0.042646986,0.045341399,0.032112323,0.031239972,0.031021019
28,patients a total of 3086 adults aged 18 years or older with unstable angina or non q wave acute myocardial infarction,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11277825_element.csv,0.10624636,0.090614431,0.150818512,0.121436164,0.127232328,0.447765976,0.072658643,0.144128785,0.32143271,0.108220711,0.19908224,0.087551691,0.320873708,0.085943788,0.153383657,0.210822567,0.073653765,0.070301697,0.092697076,0.08282923
29,eligible patients were adults aged 18 years or older with chest pain or discomfort of at least 15 minutes duration that occurred at rest or with minimal exertion within the 24 hour period preceding hospitalization and represented a change from their usual anginal pattern,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11277825_element.csv,0.113651969,0.083469585,0.112934493,0.091479562,0.099649549,0.366531521,0.062702239,0.082491077,0.226197436,0.084792592,0.169559151,0.072824173,0.152259931,0.06351357,0.111961082,0.108258866,0.053714737,0.059010807,0.066741049,0.051673416
30,between 24 and 96 hours after hospital admission eligible patients were randomly assigned with stratification by center to double blind treatment with atorvastatin 80 mg d or matching placebo for 16 weeks,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11277825_element.csv,0.06810452,0.05836786,0.661238432,0.062416814,0.082129955,0.074773476,0.048085276,0.068550065,0.057823636,0.053986609,0.040814146,0.046281435,0.132897928,0.033802453,0.054174133,0.065758757,0.032468021,0.030385485,0.030100932,0.039213907
31,between may 1997 and september 1999 3086 patients were enrolled 1538 were randomly assigned to receive atorvastatin and 1548 to receive placebo figure 1,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11277825_element.csv,0.065951191,0.055589892,0.571225405,0.063217103,0.079814643,0.082879946,0.041350596,0.086519919,0.054495707,0.050562162,0.038662419,0.04405161,0.184728861,0.033945333,0.055811871,0.077202797,0.032506533,0.028363364,0.029935202,0.03996053
32,the myocardial ischemia reduction with aggressive cholesterol lowering miracl study tested the hypothesis that treatment with atorvastatin 80 mg d initiated soon after presentation with unstable angina or non q wave acute mi reduces the occurrence of early recurrent ischemic events and death,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11277825_element.csv,0.574129343,0.143905893,0.090645239,0.053156819,0.057872701,0.058486655,0.068669863,0.083922349,0.052135646,0.043424759,0.043218922,0.04652831,0.041587532,0.036037449,0.039609913,0.040516298,0.043227401,0.027867448,0.027681325,0.028258424
33,our finding that treatment with 80 mg d of atorvastatin initiated 24 to 96 hours after an acs reduces the risk of relative risk 95 confidence interval death nonfatal acute myocardial infarction and resuscitated cardiac arrest were not significantly reduced in the atorvastatin group compared with the placebo group,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11277825_element.csv,0.591093183,0.156955495,0.095456608,0.057948183,0.058336463,0.056756083,0.06993939,0.066202916,0.05220864,0.041415289,0.043648049,0.049372796,0.041808955,0.039873935,0.042576488,0.042408939,0.044049364,0.030375218,0.030966409,0.030553084
34,in conclusion the results of this trial indicate that treatment with 80 mg d of atorvastatin initiated during the acute phase of unstable angina or non q wave acute mi reduces the risk of early recurrent ischemic events primarily recurrent symptomatic ischemia requiring hospitalization,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11277825_element.csv,0.664042592,0.169638336,0.090353608,0.059243597,0.062198535,0.060134348,0.077577487,0.078535102,0.053733312,0.043356657,0.046651665,0.053174578,0.044547662,0.041724939,0.045994069,0.047279432,0.048950441,0.031006424,0.031950641,0.033561662
35,participants two hundred and forty ve pregnant women at term with medical or obstetric indications for labour induction and unfavourable cervices,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.073085576,0.059214544,0.224302828,0.087258309,0.106828414,0.298957914,0.047262702,0.14979738,0.149692476,0.071661957,0.105365559,0.053244662,0.347955316,0.060996361,0.115157075,0.159382537,0.050869424,0.041561965,0.052560855,0.056176901
36,objective to compare the ef cacy of equivalent doses of orally administered with vaginally administered misoprostol in induction of labour at term,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.200648606,0.07969027,0.256154746,0.065761715,0.070392855,0.127679661,0.085333914,0.286738396,0.046788123,0.073222294,0.058572996,0.048783503,0.12520124,0.037025187,0.057725787,0.076122202,0.055715811,0.033733539,0.025582122,0.044370696
37,women with previous uterine surgery including a previous caesarean section with signi cant fetal or medical concerns or known contraindications to the use of prostaglandins were excluded,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.098596476,0.069050901,0.133673459,0.0740197,0.087891154,0.314155072,0.057329923,0.091050804,0.148525998,0.071488135,0.134835139,0.057891268,0.121553399,0.048313439,0.093812846,0.085416853,0.046540119,0.043022603,0.045903113,0.037595667
38,a normal fetal heart tracing and a cervical bishops score of less than 8 were also criteria for inclusion,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.128842667,0.077670924,0.092704616,0.072938472,0.080194339,0.254900903,0.051230405,0.076564535,0.13116765,0.066828266,0.120208129,0.056973916,0.111017279,0.048004638,0.079447754,0.071083531,0.041255727,0.043223631,0.042090014,0.036905143
39,two hundred and forty ve women were recruited for the trial marginally over the intended sample size,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.078933612,0.068695627,0.264988333,0.111923404,0.118150793,0.2272425,0.054349799,0.166379571,0.127959743,0.075160705,0.083812177,0.064485289,0.489885539,0.06881579,0.106575221,0.175899848,0.06012582,0.046064939,0.063352734,0.075658806
40,if a diagnosis of labour was made or the cervical bishop s score was 8 or more she was transferred to labour ward for arti cial rupture of membranes,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.084837303,0.061899133,0.472860724,0.05204466,0.069852039,0.058612928,0.045002006,0.054603111,0.051705532,0.049814444,0.036739331,0.040663071,0.070419267,0.030257944,0.04170173,0.04520015,0.02591629,0.027359311,0.025568554,0.028281411
41,methods the women were randomly assigned to receive 50mgm of misoprostol orally or vaginally four hourly to a maximum of ve doses,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.077891879,0.060956858,0.69130522,0.062984541,0.078273155,0.068122223,0.052461568,0.074618407,0.052795108,0.057829197,0.039470859,0.047494397,0.117073387,0.033676744,0.051565368,0.064039864,0.034297507,0.032093048,0.029012434,0.040055353
42,the women were also asked to state their preference for the route of administration of the induction agent oral or vaginal if they were to have another induction,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.089071572,0.062579505,0.533860922,0.053984981,0.067374595,0.053768691,0.047044121,0.05492219,0.048698902,0.049564578,0.034555692,0.043045167,0.079701081,0.031057816,0.041758135,0.047715001,0.026646998,0.027218377,0.026399769,0.030332133
43,two of the women who had a failed induction with oral misoprostol eventually went into labour with pge 2 vaginal gel but underwent caesarean sections for inadequate progress in labour,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.108536519,0.062514164,0.425702274,0.0487957,0.061935693,0.050501592,0.044987109,0.062320191,0.044152178,0.045402691,0.031443026,0.038617969,0.061622102,0.027351094,0.03635028,0.041506745,0.025604211,0.025041133,0.022536788,0.026679629
44,three others in the oral group did not respond to pge 2 and had abdominal deliveries along with the three women who opted for caesarean sections since they did not want to try pge 2,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.12767905,0.075751483,0.247643426,0.05449985,0.064143643,0.063698187,0.042437475,0.044643376,0.05721974,0.047830947,0.041721184,0.040422689,0.055045579,0.03400949,0.038929339,0.038127404,0.025329662,0.028005587,0.026808847,0.024525484
45,this showed that vaginal misoprostol resulted in signi cantly more women delivering within 24 hours of the induction with less need for oxytocin and lower operative delivery rates 3,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.6572299,0.161934808,0.095317431,0.057204388,0.061537769,0.057745077,0.072974056,0.072845422,0.053291362,0.046803117,0.0471422,0.051016074,0.042723555,0.040128242,0.043735862,0.043869615,0.046234157,0.031549066,0.030707123,0.030864842
46,the mean induction to delivery interval in those who delivered vaginally was signi cantly shorter in the vaginal misoprostol group 17 8h vs 27 9h mean difference 10 1 h 95 ci 5 8 14 4 table 2 and the number of women who delivered with a single dose was higher 77 8 vs 51 1 rr 1 5 95 ci 1 2 2 0 as was the number who delivered within 24 hours of the start of the induction 80 vs 46 3 rr 1 5 95 ci 1 3 2 1,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.284241289,0.110349879,0.123435177,0.054123349,0.057498943,0.058229003,0.046776727,0.051299494,0.054382123,0.043206066,0.040266551,0.041463137,0.045288615,0.03536937,0.036930688,0.035087354,0.030244881,0.027160211,0.027170038,0.024063988
47,the number of women who received oxytocin augmentation was higher in the oral group although in those receiving oxytocin there was no signi cant difference in the mean amount given 5 7iu in the oral group vs 4 2iu in the vaginal group mean difference 1 5 95 ci of mean difference 0 5 to 13 4,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.529147148,0.149300665,0.104244672,0.057287514,0.057906225,0.052716188,0.063444383,0.059471767,0.050044119,0.04094087,0.040939353,0.047284156,0.042043265,0.038770374,0.04196237,0.040432263,0.040006887,0.029712807,0.030014424,0.028656831
48,more women were delivered within 24 hours 80 vs 46 3 rr 1 7 95 ci 1 3 2 1 and fewer women needed oxytocin augmentation 39 vs 58 2 rr 0 67 95 ci 0 5 0 9 in the vaginal group,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.182745203,0.097937651,0.132371694,0.062819526,0.063864984,0.07342352,0.047538687,0.047670539,0.067985952,0.052274451,0.04965822,0.044498205,0.053898863,0.039062046,0.041005813,0.038371213,0.028778801,0.03209364,0.031025998,0.025992602
49,most of these women quoted the ease and less invasive nature of the oral administration as positive points and about 8 quoted the absence of restriction of movement following its administration as an additional advantage,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11281461_element.csv,0.521285713,0.143265039,0.106717117,0.054249607,0.057416312,0.049941279,0.063108757,0.064983241,0.047363944,0.039346322,0.038788475,0.046508893,0.044227853,0.037090283,0.040970802,0.040638931,0.040580485,0.027409166,0.02768671,0.028350214
50,we aimed to assess endothelin 1 et 1 a potent melanocyte mitogen in plasma of puva treated paients with vitiligo,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11393383_element.csv,0.252866834,0.074040167,0.156184524,0.052919101,0.05705864,0.081509836,0.073245779,0.165207967,0.045322511,0.054972354,0.051248927,0.040830307,0.068237677,0.027892143,0.042835843,0.047293503,0.038341083,0.029361991,0.020071724,0.03102069
51,patients with psoriasis n 15 treated identically and healthy subjects not receiving any therapy n 15 served as controls,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11393383_element.csv,0.068767883,0.056066748,0.615694761,0.061961334,0.076170117,0.067490846,0.048216954,0.059987836,0.055517975,0.055358138,0.04085457,0.045895666,0.113881975,0.033544723,0.048090558,0.058164999,0.028755479,0.031187378,0.02962897,0.036562674
52,they had not received any therapy including phototherapy at least 2 months before the study,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11393383_element.csv,0.077618904,0.057055861,0.499338657,0.056513645,0.069411159,0.067926258,0.047242567,0.05245712,0.056006033,0.052906673,0.041222606,0.042227875,0.090083025,0.032065488,0.043765932,0.050156403,0.025895545,0.030255144,0.027271543,0.030921733
53,et 1 was sequentially assessed using elisa in patients with nonsegmental vitiligo treated with puva n 20 at 8 16 and 24 h following the puva session,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11393383_element.csv,0.077812657,0.060152855,0.544248879,0.057585027,0.072925046,0.058339078,0.050837085,0.054772075,0.054728046,0.055154044,0.037275512,0.044712093,0.086700082,0.032929633,0.043053202,0.048895586,0.027547244,0.029514825,0.028241767,0.032043628
54,vitiligo area scoring index vasi and psoriasis area severity index pasi scores were simultaneously evaluated,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11393383_element.csv,0.151964366,0.075649515,0.129389852,0.058775168,0.061557133,0.088297464,0.049303621,0.062540583,0.062828168,0.052175898,0.056991939,0.040187851,0.054497629,0.032627981,0.042898681,0.036750149,0.028094552,0.030321544,0.025985595,0.024841057
55,all patients received 3 sessions week of systemic puva therapy in the form of oral 8 methoxypsoralen 0 6 mg kg followed after 2 h by uva exposure 300 400 nm waldmann schwenningen germany according to the united states cooperative clinical trial protocol and all patients completed the 3 month therapy period,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11393383_element.csv,0.086612448,0.066727795,0.702893734,0.065407835,0.080189049,0.064698316,0.05656391,0.075518511,0.053339534,0.059849545,0.039679449,0.048998956,0.095613375,0.034728054,0.050607491,0.060940705,0.035954908,0.032549523,0.028604625,0.040358596
56,pretreatment plasma et 1 levels in vitiligo and psoriasis were found to be elevated above the values of healthy controls in this current study and even above those reported in the literature 2 3 4 pg ml,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11393383_element.csv,0.57590878,0.150914431,0.088066198,0.056885872,0.059269086,0.060588859,0.064338706,0.063936196,0.052535947,0.042552546,0.046423949,0.047794927,0.042753819,0.038968161,0.042962573,0.040835105,0.042350732,0.030056829,0.029848211,0.028050901
57,in addition there was a significant indirect correlation between sequential plasma et 1 and vasi score indicating that the elevation of plasma et 1 in response to puva therapy is accompanied by generalized hyperpigmentation and repigmentation of vitiligo,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11393383_element.csv,0.667728722,0.160919666,0.094464935,0.056930888,0.063293248,0.058839742,0.072862253,0.07460577,0.052824896,0.046815947,0.047937296,0.051286381,0.044162184,0.040914834,0.045024101,0.044950761,0.04732516,0.032043595,0.030681856,0.031819921
58,having accepted that hyperproliferating keratinocytes and endothelial cells are the main sources of the elevation it is likely that the decline in et 1 is the result rather than the cause of the improvement,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11393383_element.csv,0.63449353,0.155343562,0.09286546,0.054410085,0.061179359,0.058032662,0.069842696,0.07435786,0.050591629,0.043811992,0.045336645,0.049606849,0.04536698,0.038669206,0.044647764,0.04439291,0.045352995,0.029505154,0.028924245,0.030455705
59,objectives the goal of this study was to determine the effects of exercise training et on functional capacity and quality of life qol in patients who received percutaneous transluminal coronary angioplasty ptca or coronary stenting cs the effects on the restenosis rate and the outcome,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11401128_element.csv,0.166130006,0.071223632,0.211445197,0.063520551,0.06834238,0.155891061,0.07940159,0.261868119,0.054976221,0.071441367,0.064683415,0.048014302,0.127665624,0.035566431,0.0602764,0.078852862,0.051436022,0.030144401,0.02595905,0.041397482
60,methods we studied 118 consecutive patients with coronary artery disease mean age 57 10 years who underwent ptca or cs on one 69 or two 31 native epicardial coronary arteries,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11401128_element.csv,0.083969213,0.076045103,0.2259271,0.118061341,0.126236215,0.368608564,0.060681883,0.19125627,0.212216809,0.087099291,0.133174077,0.069287725,0.459119439,0.075782798,0.138162002,0.229926631,0.072917871,0.051312678,0.072545797,0.083609246
61,primary angioplasty defined as angioplasty without thrombolytic therapy was performed 148 63 min after the onset of an acute myocardial infarction ami in 23 patients 11 in group t 12 in group c,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11401128_element.csv,0.071014918,0.049986433,0.215682089,0.056886513,0.069718808,0.125986025,0.041993372,0.090658888,0.065606676,0.049904056,0.053181443,0.038611922,0.113757536,0.033340152,0.056685053,0.056931056,0.028258175,0.028551329,0.025748596,0.028342254
