id,text,file_path,p,i,o
11,methods the women were randomised to receive 50 mg of misoprostol orally or vaginally every 6 h until the cervix was favourable for amniotomy spontaneous rupture of membranes or active labour occurred,F:\PythonProjects\TestFastBert\PICOElement\11212999_element.csv,0,1,0
12,sample size was calculated with a two tailed alpha of 0 05 and a power of 95 to detect a 5 h difference in induction to delivery time,F:\PythonProjects\TestFastBert\PICOElement\11212999_element.csv,0,1,0
13,women randomised to vaginal misoprostol had the tablet placed by the resident or attending physician in the vaginal vault,F:\PythonProjects\TestFastBert\PICOElement\11212999_element.csv,0,1,0
14,results the median induction to delivery time was significantly shorter with vaginal misoprostol 15 7 h range 4 3 55 7 compared with oral misoprostol 23 0 h range 3 2 141 7 p 0 0013,F:\PythonProjects\TestFastBert\PICOElement\11212999_element.csv,0,0,1
15,conclusions compared with oral misoprostol vaginal misoprostol for induction of labour at term results in a shorter induction to delivery time with fewer doses required per patient,F:\PythonProjects\TestFastBert\PICOElement\11212999_element.csv,0,0,1
16,vaginal misoprostol may be associated with higher rates of caesarean section than oral misoprostol,F:\PythonProjects\TestFastBert\PICOElement\11212999_element.csv,0,0,1
17,although there was no statistically significant difference between oral and vaginal misoprostol with respect to emergency caesarean sections it is important to note that there were more emergency caesarean sections in the vaginal group,F:\PythonProjects\TestFastBert\PICOElement\11212999_element.csv,0,0,1
18,in total 103 patients were recruited 51 in the misoprostol group and 52 in the placebo group,F:\PythonProjects\TestFastBert\PICOElement\11226441_element.csv,1,0,0
19,the aim of this study was to examine the efficacy of oral misoprostol as an oxytocic agent in women with prom and to monitor the incidence of adverse maternal and fetal effects in the treatment arm of the study,F:\PythonProjects\TestFastBert\PICOElement\11226441_element.csv,1,0,0
20,at the time of recruitment the women received one of the tablets and both groups re ceived again the same drug as before misoprostol,F:\PythonProjects\TestFastBert\PICOElement\11226441_element.csv,1,0,0
21,at the time of recruitment the women received one of the tablets and both groups received again the same drug as before misoprostol,F:\PythonProjects\TestFastBert\PICOElement\11226441_element.csv,0,1,0
22,an initial continuous ctg for 1 h was recorded followed by intermittent ctg or continuous ctg once in active labor,F:\PythonProjects\TestFastBert\PICOElement\11226441_element.csv,0,1,0
23,the vitamin c tablet was nearly identical in appearance with the misoprostol tablet and has no known effect on labor,F:\PythonProjects\TestFastBert\PICOElement\11226441_element.csv,0,1,0
24,oral misoprostol in the suggested dose is an effective oxytocic when used for induction of labor in women with prom,F:\PythonProjects\TestFastBert\PICOElement\11226441_element.csv,0,0,1
25,oral misoprostol significantly reduced the proportion of women with prom undelivered within 12 h of treatment,F:\PythonProjects\TestFastBert\PICOElement\11226441_element.csv,0,0,1
26,in addition significantly fewer patients were undelivered after 24 h and the rupture of membranes to delivery interval was significantly reduced,F:\PythonProjects\TestFastBert\PICOElement\11226441_element.csv,0,0,1
27,this study also showed increased patient satisfaction when the vaginal approach w x was avoided 2,F:\PythonProjects\TestFastBert\PICOElement\11226441_element.csv,0,0,1
28,patients a total of 3086 adults aged 18 years or older with unstable angina or non q wave acute myocardial infarction,F:\PythonProjects\TestFastBert\PICOElement\11277825_element.csv,1,0,0
29,eligible patients were adults aged 18 years or older with chest pain or discomfort of at least 15 minutes duration that occurred at rest or with minimal exertion within the 24 hour period preceding hospitalization and represented a change from their usual anginal pattern,F:\PythonProjects\TestFastBert\PICOElement\11277825_element.csv,1,0,0
30,between 24 and 96 hours after hospital admission eligible patients were randomly assigned with stratification by center to double blind treatment with atorvastatin 80 mg d or matching placebo for 16 weeks,F:\PythonProjects\TestFastBert\PICOElement\11277825_element.csv,0,1,0
31,between may 1997 and september 1999 3086 patients were enrolled 1538 were randomly assigned to receive atorvastatin and 1548 to receive placebo figure 1,F:\PythonProjects\TestFastBert\PICOElement\11277825_element.csv,0,1,0
32,the myocardial ischemia reduction with aggressive cholesterol lowering miracl study tested the hypothesis that treatment with atorvastatin 80 mg d initiated soon after presentation with unstable angina or non q wave acute mi reduces the occurrence of early recurrent ischemic events and death,F:\PythonProjects\TestFastBert\PICOElement\11277825_element.csv,0,0,1
33,our finding that treatment with 80 mg d of atorvastatin initiated 24 to 96 hours after an acs reduces the risk of relative risk 95 confidence interval death nonfatal acute myocardial infarction and resuscitated cardiac arrest were not significantly reduced in the atorvastatin group compared with the placebo group,F:\PythonProjects\TestFastBert\PICOElement\11277825_element.csv,0,0,1
34,in conclusion the results of this trial indicate that treatment with 80 mg d of atorvastatin initiated during the acute phase of unstable angina or non q wave acute mi reduces the risk of early recurrent ischemic events primarily recurrent symptomatic ischemia requiring hospitalization,F:\PythonProjects\TestFastBert\PICOElement\11277825_element.csv,0,0,1
35,participants two hundred and forty ve pregnant women at term with medical or obstetric indications for labour induction and unfavourable cervices,F:\PythonProjects\TestFastBert\PICOElement\11281461_element.csv,1,0,0
36,objective to compare the ef cacy of equivalent doses of orally administered with vaginally administered misoprostol in induction of labour at term,F:\PythonProjects\TestFastBert\PICOElement\11281461_element.csv,1,0,0
37,women with previous uterine surgery including a previous caesarean section with signi cant fetal or medical concerns or known contraindications to the use of prostaglandins were excluded,F:\PythonProjects\TestFastBert\PICOElement\11281461_element.csv,1,0,0
38,a normal fetal heart tracing and a cervical bishops score of less than 8 were also criteria for inclusion,F:\PythonProjects\TestFastBert\PICOElement\11281461_element.csv,1,0,0
39,two hundred and forty ve women were recruited for the trial marginally over the intended sample size,F:\PythonProjects\TestFastBert\PICOElement\11281461_element.csv,1,0,0
40,if a diagnosis of labour was made or the cervical bishop s score was 8 or more she was transferred to labour ward for arti cial rupture of membranes,F:\PythonProjects\TestFastBert\PICOElement\11281461_element.csv,0,1,0
41,methods the women were randomly assigned to receive 50mgm of misoprostol orally or vaginally four hourly to a maximum of ve doses,F:\PythonProjects\TestFastBert\PICOElement\11281461_element.csv,0,1,0
42,the women were also asked to state their preference for the route of administration of the induction agent oral or vaginal if they were to have another induction,F:\PythonProjects\TestFastBert\PICOElement\11281461_element.csv,0,1,0
43,two of the women who had a failed induction with oral misoprostol eventually went into labour with pge 2 vaginal gel but underwent caesarean sections for inadequate progress in labour,F:\PythonProjects\TestFastBert\PICOElement\11281461_element.csv,0,1,0
44,three others in the oral group did not respond to pge 2 and had abdominal deliveries along with the three women who opted for caesarean sections since they did not want to try pge 2,F:\PythonProjects\TestFastBert\PICOElement\11281461_element.csv,0,1,0
45,this showed that vaginal misoprostol resulted in signi cantly more women delivering within 24 hours of the induction with less need for oxytocin and lower operative delivery rates 3,F:\PythonProjects\TestFastBert\PICOElement\11281461_element.csv,0,0,1
46,the mean induction to delivery interval in those who delivered vaginally was signi cantly shorter in the vaginal misoprostol group 17 8h vs 27 9h mean difference 10 1 h 95 ci 5 8 14 4 table 2 and the number of women who delivered with a single dose was higher 77 8 vs 51 1 rr 1 5 95 ci 1 2 2 0 as was the number who delivered within 24 hours of the start of the induction 80 vs 46 3 rr 1 5 95 ci 1 3 2 1,F:\PythonProjects\TestFastBert\PICOElement\11281461_element.csv,0,0,1
47,the number of women who received oxytocin augmentation was higher in the oral group although in those receiving oxytocin there was no signi cant difference in the mean amount given 5 7iu in the oral group vs 4 2iu in the vaginal group mean difference 1 5 95 ci of mean difference 0 5 to 13 4,F:\PythonProjects\TestFastBert\PICOElement\11281461_element.csv,0,0,1
48,more women were delivered within 24 hours 80 vs 46 3 rr 1 7 95 ci 1 3 2 1 and fewer women needed oxytocin augmentation 39 vs 58 2 rr 0 67 95 ci 0 5 0 9 in the vaginal group,F:\PythonProjects\TestFastBert\PICOElement\11281461_element.csv,0,0,1
49,most of these women quoted the ease and less invasive nature of the oral administration as positive points and about 8 quoted the absence of restriction of movement following its administration as an additional advantage,F:\PythonProjects\TestFastBert\PICOElement\11281461_element.csv,0,0,1
50,we aimed to assess endothelin 1 et 1 a potent melanocyte mitogen in plasma of puva treated paients with vitiligo,F:\PythonProjects\TestFastBert\PICOElement\11393383_element.csv,1,0,0
51,patients with psoriasis n 15 treated identically and healthy subjects not receiving any therapy n 15 served as controls,F:\PythonProjects\TestFastBert\PICOElement\11393383_element.csv,1,1,0
52,they had not received any therapy including phototherapy at least 2 months before the study,F:\PythonProjects\TestFastBert\PICOElement\11393383_element.csv,1,0,0
53,et 1 was sequentially assessed using elisa in patients with nonsegmental vitiligo treated with puva n 20 at 8 16 and 24 h following the puva session,F:\PythonProjects\TestFastBert\PICOElement\11393383_element.csv,0,1,0
54,vitiligo area scoring index vasi and psoriasis area severity index pasi scores were simultaneously evaluated,F:\PythonProjects\TestFastBert\PICOElement\11393383_element.csv,0,1,0
55,all patients received 3 sessions week of systemic puva therapy in the form of oral 8 methoxypsoralen 0 6 mg kg followed after 2 h by uva exposure 300 400 nm waldmann schwenningen germany according to the united states cooperative clinical trial protocol and all patients completed the 3 month therapy period,F:\PythonProjects\TestFastBert\PICOElement\11393383_element.csv,0,1,0
56,pretreatment plasma et 1 levels in vitiligo and psoriasis were found to be elevated above the values of healthy controls in this current study and even above those reported in the literature 2 3 4 pg ml,F:\PythonProjects\TestFastBert\PICOElement\11393383_element.csv,0,0,1
57,in addition there was a significant indirect correlation between sequential plasma et 1 and vasi score indicating that the elevation of plasma et 1 in response to puva therapy is accompanied by generalized hyperpigmentation and repigmentation of vitiligo,F:\PythonProjects\TestFastBert\PICOElement\11393383_element.csv,0,0,1
58,having accepted that hyperproliferating keratinocytes and endothelial cells are the main sources of the elevation it is likely that the decline in et 1 is the result rather than the cause of the improvement,F:\PythonProjects\TestFastBert\PICOElement\11393383_element.csv,0,0,1
59,objectives the goal of this study was to determine the effects of exercise training et on functional capacity and quality of life qol in patients who received percutaneous transluminal coronary angioplasty ptca or coronary stenting cs the effects on the restenosis rate and the outcome,F:\PythonProjects\TestFastBert\PICOElement\11401128_element.csv,1,0,0
60,methods we studied 118 consecutive patients with coronary artery disease mean age 57 10 years who underwent ptca or cs on one 69 or two 31 native epicardial coronary arteries,F:\PythonProjects\TestFastBert\PICOElement\11401128_element.csv,1,0,0
61,primary angioplasty defined as angioplasty without thrombolytic therapy was performed 148 63 min after the onset of an acute myocardial infarction ami in 23 patients 11 in group t 12 in group c,F:\PythonProjects\TestFastBert\PICOElement\11401128_element.csv,1,0,0
62,after a 15 min phase of stretching and calisthenics patients pedaled on an electronically braked cycle ergometer at the target work rate for 30 min,F:\PythonProjects\TestFastBert\PICOElement\11401128_element.csv,0,1,0
63,control patients were recommended to perform basic daily mild physical activities but to avoid any physical training,F:\PythonProjects\TestFastBert\PICOElement\11401128_element.csv,0,1,0
64,group t n 59 was exercised three times a week for six months at 60 of peak v o 2,F:\PythonProjects\TestFastBert\PICOElement\11401128_element.csv,0,1,0
65,the program lasted six months and consisted of three exercise sessions per week at an intensity of 60 of peak oxygen uptake v o 2,F:\PythonProjects\TestFastBert\PICOElement\11401128_element.csv,0,1,0
66,conclusions moderate et improves functional capacity and qol after ptca or cs,F:\PythonProjects\TestFastBert\PICOElement\11401128_element.csv,0,0,1
67,the progression of coronary artery disease was significantly lower in trained patients than it was in control patients at six months,F:\PythonProjects\TestFastBert\PICOElement\11401128_element.csv,0,0,1
68,results only trained patients had significant improvements in peak v o 2 26 p 0 001 and quality of life 26 8 p 0 001 vs c,F:\PythonProjects\TestFastBert\PICOElement\11401128_element.csv,0,0,1
69,approval was obtained from the orlando regional investigational review committee candidates had a singleton live gestation bishop score 2 under 7 estimated fetal weight under 4500 g and gestational age exceeding 24 weeks,F:\PythonProjects\TestFastBert\PICOElement\11430966_element.csv,1,0,0
70,cervical ripening was performed in the antepartum unit adjacent to the labor suite and continuous fetal heart rate and uterine activity were monitored in all patients,F:\PythonProjects\TestFastBert\PICOElement\11430966_element.csv,0,1,0
71,the medication regimens could be re administered every 6 hours for a total of six doses,F:\PythonProjects\TestFastBert\PICOElement\11430966_element.csv,0,1,0
72,in the oral group after the first two doses of 200 g the dose was increased to 300 g for the duration of the study up to a total of 1600 g,F:\PythonProjects\TestFastBert\PICOElement\11430966_element.csv,0,1,0
73,in the vaginal group after the first two doses of 50 g the dose was increased to 100 g for the duration of the study up to a total of 500 g,F:\PythonProjects\TestFastBert\PICOElement\11430966_element.csv,0,1,0
74,ngai et al 23 noted one of his patients underwent an emergency cesarean delivery for late decelerations after 15 minutes from taking an oral 200 g dose,F:\PythonProjects\TestFastBert\PICOElement\11430966_element.csv,0,1,0
75,the indications for cesarean delivery were similar between the groups the most frequent indication being fetal distress in 70 14 and 58 12 oral versus vaginal respectively p 27 2,F:\PythonProjects\TestFastBert\PICOElement\11430966_element.csv,0,1,0
76,our data agree with other publications suggesting that oral misoprostol is effective for cervical ripening and neonatal outcomes do not differ 11 17 18 19 20 21 22 25 26 between oral misoprostol and control groups,F:\PythonProjects\TestFastBert\PICOElement\11430966_element.csv,0,0,1
77,we noted a total of 27 2 8 of patients who received misoprostol underwent an urgent cesarean delivery during the ripening procedure,F:\PythonProjects\TestFastBert\PICOElement\11430966_element.csv,0,0,1
78,methods we randomly assigned 12 562 patients who had presented within 24 hours after the onset of symptoms to receive clopidogrel 300 mg immediately followed by 75 mg once daily 6259 patients or placebo 6303 patients in addition to aspirin for 3 to 12 months,F:\PythonProjects\TestFastBert\PICOElement\11519503_element.csv,1,1,0
79,however after a review of the overall rates of events among the first 3000 patients the steering committee recommended that we enroll only patients who had either electrocardiographic changes or an elevation in the serum level of cardiac enzymes or markers at entry,F:\PythonProjects\TestFastBert\PICOElement\11519503_element.csv,1,0,0
80,our study demonstrates the benefit of adding clopidogrel to the regimen of treatment for patients with acute coronary syndromes without st segment elevation who are receiving aspirin and other medications,F:\PythonProjects\TestFastBert\PICOElement\11519503_element.csv,0,1,0
81,in patients who are undergoing percutaneous transluminal coronary angioplasty ptca with stenting shortterm aspirin treatment plus a thienopyridine derivative results in a substantially lower rate of myocardial infarction than does either aspirin alone or warfarin,F:\PythonProjects\TestFastBert\PICOElement\11519503_element.csv,0,1,0
82,in summary clopidogrel significantly reduces the risk of the composite outcome of death from cardiovascular causes nonfatal myocardial infarction or stroke as well as a range of related ischemic events,F:\PythonProjects\TestFastBert\PICOElement\11519503_element.csv,0,0,1
83,treatment with clopidogrel reduced the risk of myocardial infarction and recurrent ischemia with a trend toward lower rates of stroke and death from cardiovascular causes,F:\PythonProjects\TestFastBert\PICOElement\11519503_element.csv,0,0,1
84,radiologic evidence of heart failure was found in fewer patients in the clopidogrel group 229 plus minus values are means sd,F:\PythonProjects\TestFastBert\PICOElement\11519503_element.csv,0,0,1
85,eligible participants were women in active labour at more than 36 completed gestational weeks with singleton fetuses in the cephalic presentation and about whom a clinical decision had been made to apply a fetal scalp electrode for continuous internal cardiotocography,F:\PythonProjects\TestFastBert\PICOElement\11520523_element.csv,1,0,0
86,since the introduction of intrapartum electronic fetal monitoring intrapartum death has become a rare event 1 methods at three swedish labour wards 4966 women with term fetuses in the cephalic presentation entered the trial during labour after a clinical decision had been made to apply a fetal scalp electrode for internal cardiotocography,F:\PythonProjects\TestFastBert\PICOElement\11520523_element.csv,1,0,0
87,we did a multicentre randomised controlled trial to test the hypothesis that intrapartum monitoring with cardiotocography combined with automatic st waveform analysis results in an improved perinatal outcome compared with cardiotocography alone,F:\PythonProjects\TestFastBert\PICOElement\11520523_element.csv,1,1,0
88,they were randomly assigned monitoring with cardiotocography plus st analysis ctg st group or cardiotocography only ctg group,F:\PythonProjects\TestFastBert\PICOElement\11520523_element.csv,0,1,0
89,this instrument uses digital signalprocessing techniques and automatic assessment of st changes by means of an expert system 16 and has been assessed in observational clinical studies,F:\PythonProjects\TestFastBert\PICOElement\11520523_element.csv,0,1,0
90,women were randomly assigned fetal monitoring by cardiotocography ctg group or cardiotocography with st waveform analysis ctg st group,F:\PythonProjects\TestFastBert\PICOElement\11520523_element.csv,0,1,0
91,the new fetal monitoring procedure was capable of reducing the risk of babies being exposed to severe intrapartum hypoxia and the number of operative our findings confirm those of experimental research showing that an abnormal st waveform on the fetal electrocardiogram corresponds to fetal hypoxia,F:\PythonProjects\TestFastBert\PICOElement\11520523_element.csv,0,0,1
92,the most important finding in our study was that the rate of metabolic acidosis at birth was significantly lower with cardiotocography and st monitoring than with cardiotocography alone,F:\PythonProjects\TestFastBert\PICOElement\11520523_element.csv,0,0,1
93,patients with lv ejection fraction 40 severe valvular disease or coexisting cardiomyopathy on screening echocardiogram were excluded,F:\PythonProjects\TestFastBert\PICOElement\11551875_element.csv,1,0,0
94,a total of 303 hypertensive patients with echocardiographic lv hypertrophy enrolled in preserve in 28 centers in 10 countries see appendix,F:\PythonProjects\TestFastBert\PICOElement\11551875_element.csv,1,0,0
95,methods and results an ethnically diverse population of 303 men and women with essential hypertension and increased lv mass at screening echocardiography were enrolled at clinical centers on 4 continents and studied by echocardiog raphy at baseline and after 6 and 12 month randomized therapy,F:\PythonProjects\TestFastBert\PICOElement\11551875_element.csv,1,1,0
96,blinded study medication was titrated and then maintained for 1 year with echocardiograms performed after 6 and 12 months after which double blinded therapy was continued during clean up of measurements and clinical event ascertainment to prevent knowledge of treatment assignment from influencing data adjudication,F:\PythonProjects\TestFastBert\PICOElement\11551875_element.csv,0,1,0
97,because the study had two primary objectives it was to be considered positive only if enalapril was more effective than nifedipine for both lv mass reduction and normalization of lv diastolic filling at a value of p 0 05 or if one comparison had a value of p 0 025,F:\PythonProjects\TestFastBert\PICOElement\11551875_element.csv,0,1,0
98,the most important result of the study is that regimens based on once daily administration of enalapril or long acting nifedipine significantly reduced lv mass index and relative wall thickness during 1 year of treatment lv mass index was reduced to the normal range in 56 of enalapril treated patients and 48 of nifedipine treated patients,F:\PythonProjects\TestFastBert\PICOElement\11551875_element.csv,0,0,1
99,conclusions once daily antihypertensive treatment with enalapril or long acting nifedipine plus adjunctive hydrochlo rothiazide and atenolol when needed to control blood pressure both had moderately beneficial and statistically indistinguishable effects on regression of lv hypertrophy,F:\PythonProjects\TestFastBert\PICOElement\11551875_element.csv,0,0,1
100,the primary outcome measure of lv mass index was reduced similarly by the two treatment regimens both in primary intention to treat analyses and in the subset of patients treated per protocol data not shown on monotherapy or in various population subsets,F:\PythonProjects\TestFastBert\PICOElement\11551875_element.csv,0,0,1
101,the results of the present study suggest that disappointing results in early studies with dihydropyridine calcium channel blockers 12 may have been caused by actions that are not characteristic of subsequently introduced longer acting preparations including induction of volume overload and sympathetic activation,F:\PythonProjects\TestFastBert\PICOElement\11551875_element.csv,0,0,1
102,this analysis confirmed a lack of difference in lv mass change between enalapril or nifedipine treatment arms and revealed trends toward greater lv mass reduction with supplemental hydrochlorothiazide mean difference 4 g m,F:\PythonProjects\TestFastBert\PICOElement\11551875_element.csv,0,0,1
103,objectives to determine the effects of titrated oral misoprostol solution compared with vaginal dinoprostone,F:\PythonProjects\TestFastBert\PICOElement\11563466_element.csv,1,0,0
104,the number of women randomised was 695,F:\PythonProjects\TestFastBert\PICOElement\11563466_element.csv,1,0,0
105,the exclusion criteria were gestation less than 34 weeks signi cant antepartum haemorrhage previous caesarean section uncontrolled diabetes mellitus severe pre eclampsia or eclampsia and fetal distress,F:\PythonProjects\TestFastBert\PICOElement\11563466_element.csv,1,0,0
106,methods women undergoing induction of labour after 34 weeks of pregnancy were allocated by randomised sealed opaque envelopes to induction of labour with titrated oral misoprostol solution or two doses of vaginal dinoprostone 2mg administered six hours apart,F:\PythonProjects\TestFastBert\PICOElement\11563466_element.csv,0,1,0
107,hyperstimulation with fetal heart rate changes occurred in 4 of women in the oral misoprostol group and 3 after vaginal dinoprostone rr 1 32 95 ci 0 59 2 98,F:\PythonProjects\TestFastBert\PICOElement\11563466_element.csv,0,1,0
108,vaginal delivery within 24 hours was not achieved in 38 of women in the oral misoprostol group and 36 in the vaginal dinoprostone group rr 1 08 95 ci 0 89 1 31,F:\PythonProjects\TestFastBert\PICOElement\11563466_element.csv,0,1,0
109,if the contractions became inadequate augmentation of the active phase of labour was attempted with hourly titrated oral misoprostol 1mg ml solution escalating the dose from 5ml to 10ml and 20ml maximum,F:\PythonProjects\TestFastBert\PICOElement\11563466_element.csv,0,1,0
110,conclusions this new approach to oral misoprostol administration was successful in minimising the risk of uterine hyperstimulation which has been a feature of misoprostol use for induction of labour at the expense of a somewhat slower response in women with intact membranes and unfavourable cervices,F:\PythonProjects\TestFastBert\PICOElement\11563466_element.csv,0,0,1
111,objective to determine the efficacy of oral misoprostol 50 g administered every 3 hours compared to vaginal misoprostol 50 g administered every 6 hours for induction of labor,F:\PythonProjects\TestFastBert\PICOElement\11641676_element.csv,1,0,0
112,post term inductions were considered when gestational age was 41 weeks 41 0 weeks,F:\PythonProjects\TestFastBert\PICOElement\11641676_element.csv,1,0,0
113,there were 126 patients enrolled in this study 62 in the oral group and 64 in the vaginal group,F:\PythonProjects\TestFastBert\PICOElement\11641676_element.csv,1,0,0
114,specific exclusion criteria included oligohydramnios amniotic fluid index 2 5th percentile for gestational age 14 intrauterine growth restriction estimated fetal weight 10th percentile for gestational age abruptio placenta premature rupture of the membranes previous uterine scar prior pg use for cervical ripening labor induction and any contraindication to vaginal delivery eg active genital herpes,F:\PythonProjects\TestFastBert\PICOElement\11641676_element.csv,1,0,0
115,study methods in this double blind randomized trial 126 women received misoprostol 50 g either orally every 3 hours or vaginally every 6 hours for induction of labor,F:\PythonProjects\TestFastBert\PICOElement\11641676_element.csv,1,1,0
116,each patient received an oral tablet every 3 hours and a vaginal tablet every 6 hours administered concurrently with an oral tablet to a maximum of 48 hours,F:\PythonProjects\TestFastBert\PICOElement\11641676_element.csv,0,1,0
117,each envelope contained 2 packages of identically appearing pills 1 labeled oral medication either placebo or misoprostol 50 g and 1 labeled vaginal medication either placebo or misoprostol 50 g,F:\PythonProjects\TestFastBert\PICOElement\11641676_element.csv,0,1,0
118,as per our center s usual protocol for cervical ripening those women not in labor at 48 hours were reassessed and their bishop score repeated,F:\PythonProjects\TestFastBert\PICOElement\11641676_element.csv,0,1,0
119,results median time to delivery was shorter in those women who were receiving vaginal misoprostol vaginal 14 3 hours vs oral 23 1 hours p 0004 and more women in the oral group required oxytocin augmentation of labor 73 vs 42 rr 1 98 95 ci 1 29 to 3 06,F:\PythonProjects\TestFastBert\PICOElement\11641676_element.csv,0,0,1
120,conclusion vaginal misoprostol administered every 6 hours is more effective for induction of labor than oral misoprostol administered every 3 hours,F:\PythonProjects\TestFastBert\PICOElement\11641676_element.csv,0,0,1
121,when comparing the groups with respect to intrapartum complications there was an increased rate of tachysystole in those women receiving vaginal misoprostol,F:\PythonProjects\TestFastBert\PICOElement\11641676_element.csv,0,0,1
122,oral misoprostol has several potential advantages compared to vaginal misoprostol including ease of administration and avoidance of repeated vaginal examinations,F:\PythonProjects\TestFastBert\PICOElement\11641676_element.csv,0,0,1
123,misoprostol a prostaglandin e1 analog is highly effective for pregnancy termination of early pregnancy and for induction of labor in late pregnancy,F:\PythonProjects\TestFastBert\PICOElement\11759980_element.csv,1,0,0
124,the present study included all women who failed to abort after 48 h of initiation of misoprostol,F:\PythonProjects\TestFastBert\PICOElement\11759980_element.csv,1,0,0
125,this was a descriptive observational study using retrospective record review of all pregnant women in the second trimester 14 28 weeks of pregnancy who failed to abort by misoprostol administration over a period of 12 years between 1998 and 2010,F:\PythonProjects\TestFastBert\PICOElement\11759980_element.csv,1,0,0
126,all women were admitted in the labor room of the department of obstetrics and gynecology faculty of medicine chiang mai university chiang mai thailand,F:\PythonProjects\TestFastBert\PICOElement\11759980_element.csv,1,0,0
127,a total of 680 women underwent termination of pregnancy over the study period of 12 years from 1998 to 2010,F:\PythonProjects\TestFastBert\PICOElement\11759980_element.csv,1,0,0
128,women received additional doses of misoprostol in case of failure to insert the modified condom balloon,F:\PythonProjects\TestFastBert\PICOElement\11759980_element.csv,0,1,0
129,additionally some women received additional doses of misoprostol instead of modified condom balloon as per the physician s choice,F:\PythonProjects\TestFastBert\PICOElement\11759980_element.csv,0,1,0
130,data included baseline characteristics of the pregnant women doses and route of misoprostol administration adverse effects further methods used after failure mean interval between initiation of termination and delivery time fetal expulsion time estimated blood loss analgesia and oxytocin requirement and serious complications such as excessive blood loss and uterine rupture,F:\PythonProjects\TestFastBert\PICOElement\11759980_element.csv,0,1,0
131,fifty two 76 5 women required oxytocin infusion and 37 54 4 women received analgesia,F:\PythonProjects\TestFastBert\PICOElement\11759980_element.csv,0,1,0
132,modified condom balloon was used as a primary technique in 33 8 of women who failed to abort,F:\PythonProjects\TestFastBert\PICOElement\11759980_element.csv,0,1,0
133,the longest abortion time was 247 88 h this was a nulliparous woman with a live fetus 22 weeks of gestation,F:\PythonProjects\TestFastBert\PICOElement\11759980_element.csv,0,1,0
134,68 10 women failed to abort within 48 h of initiation of misoprostol,F:\PythonProjects\TestFastBert\PICOElement\11759980_element.csv,0,0,1
135,objective to evaluate the efficacy of oral and vaginal misoprostol compared with the standard regimen using dinoprostone for induction of labor,F:\PythonProjects\TestFastBert\PICOElement\11814497_element.csv,1,0,0
136,however the lack of any serious adverse events was noteworthy because this study was carried out among a group of women with high risk pregnancies,F:\PythonProjects\TestFastBert\PICOElement\11814497_element.csv,1,0,0
137,misoprostol a prostaglandin e1 analogue is an inexpensive and potentially useful drug to women requiring induction of labor,F:\PythonProjects\TestFastBert\PICOElement\11814497_element.csv,1,0,0
138,from april 1999 to november 2000 all women with obstetric or medical indications for induction of labor were recruited to the trial,F:\PythonProjects\TestFastBert\PICOElement\11814497_element.csv,1,0,0
139,a total of 573 women were recruited to the study,F:\PythonProjects\TestFastBert\PICOElement\11814497_element.csv,1,0,0
140,patients who had a bishop score greater than 7 where amniotomy was possible without the prior use of prostaglandins were also excluded,F:\PythonProjects\TestFastBert\PICOElement\11814497_element.csv,1,0,0
